iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2015_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
und,Sylo,und_Sylo,Undetermined, ,Zs,SPACE,783629,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",53,112,4,902,742,1538,117177,199142,256080,207879
und,Sylo,und_Sylo,Undetermined,ꠣ,Mc,SYLOTI NAGRI VOWEL SIGN A,463556,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,387,260,701,68880,120833,153319,119174
und,Sylo,und_Sylo,Undetermined,ꠞ,Lo,SYLOTI NAGRI LETTER RO,304052,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,219,186,425,45917,78904,97641,80758
und,Sylo,und_Sylo,Undetermined,ꠤ,Mc,SYLOTI NAGRI VOWEL SIGN I,258956,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,216,163,428,38396,64615,84817,70319
und,Sylo,und_Sylo,Undetermined,ꠘ,Lo,SYLOTI NAGRI LETTER NO,216172,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,113,107,344,31349,54694,69628,59935
und,Sylo,und_Sylo,Undetermined,ꠦ,Mn,SYLOTI NAGRI VOWEL SIGN E,173257,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,57,81,243,25257,44300,56093,47224
und,Sylo,und_Sylo,Undetermined,ꠟ,Lo,SYLOTI NAGRI LETTER LO,148738,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,203,140,315,22113,37778,49040,39147
und,Sylo,und_Sylo,Undetermined,ꠔ,Lo,SYLOTI NAGRI LETTER TO,129750,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,59,85,185,18981,33565,42690,34183
und,Sylo,und_Sylo,Undetermined,ꠛ,Lo,SYLOTI NAGRI LETTER BO,124382,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,90,88,217,18417,32323,40756,32489
und,Sylo,und_Sylo,Undetermined,ꠝ,Lo,SYLOTI NAGRI LETTER MO,122326,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,90,78,221,18637,31744,39411,32143
und,Sylo,und_Sylo,Undetermined,ꠁ,Lo,SYLOTI NAGRI LETTER I,118449,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,84,78,164,17007,29941,38379,32794
und,Sylo,und_Sylo,Undetermined,ꠀ,Lo,SYLOTI NAGRI LETTER A,114505,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,92,68,196,16399,29080,36953,31715
und,Sylo,und_Sylo,Undetermined,ꠥ,Mn,SYLOTI NAGRI VOWEL SIGN U,110013,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,78,77,154,17082,29372,34629,28619
und,Sylo,und_Sylo,Undetermined,ꠇ,Lo,SYLOTI NAGRI LETTER KO,104654,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,66,79,161,14612,24975,34579,30180
und,Sylo,und_Sylo,Undetermined,ꠡ,Lo,SYLOTI NAGRI LETTER SO,104477,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,89,89,164,16256,27292,34202,26383
und,Sylo,und_Sylo,Undetermined,꠆,Mn,SYLOTI NAGRI SIGN HASANTA,99270,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,67,74,135,13839,23119,32152,29882
und,Sylo,und_Sylo,Undetermined,ꠍ,Lo,SYLOTI NAGRI LETTER CHO,89272,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,117,68,133,14200,23713,29007,22032
und,Sylo,und_Sylo,Undetermined,ꠖ,Lo,SYLOTI NAGRI LETTER DO,86085,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,33,66,135,13186,22358,28144,22161
und,Sylo,und_Sylo,Undetermined,ꠈ,Lo,SYLOTI NAGRI LETTER KHO,80701,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,28,49,150,11431,21384,25835,21822
und,Sylo,und_Sylo,Undetermined,ꠎ,Lo,SYLOTI NAGRI LETTER JO,78295,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,97,61,95,12720,21251,24153,19916
und,Sylo,und_Sylo,Undetermined,ꠅ,Lo,SYLOTI NAGRI LETTER O,74743,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,40,63,134,11238,19116,24163,19987
und,Sylo,und_Sylo,Undetermined,ꠉ,Lo,SYLOTI NAGRI LETTER GO,64573,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,59,54,77,9830,16823,20624,17104
und,Sylo,und_Sylo,Undetermined,ꠄ,Lo,SYLOTI NAGRI LETTER E,64453,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,25,47,98,9452,16425,21146,17258
und,Sylo,und_Sylo,Undetermined,ꠐ,Lo,SYLOTI NAGRI LETTER TTO,63572,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,89,67,90,9555,15843,21448,16478
und,Sylo,und_Sylo,Undetermined,ꠚ,Lo,SYLOTI NAGRI LETTER PHO,58770,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,15,44,83,9415,16715,18361,14135
und,Sylo,und_Sylo,Undetermined,|,Sm,VERTICAL LINE,42297,7,"2018,2019,2020,2021,2022,2023,2024",0,0,0,10,14,474,3625,4029,16038,18107
und,Sylo,und_Sylo,Undetermined,ꠢ,Lo,SYLOTI NAGRI LETTER HO,37409,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,43,51,64,5761,9647,11806,10035
und,Sylo,und_Sylo,Undetermined,ꠃ,Lo,SYLOTI NAGRI LETTER U,37127,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,25,44,54,4734,8106,12017,12145
und,Sylo,und_Sylo,Undetermined,e,Ll,LATIN SMALL LETTER E,36655,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",0,7,2,98,66,138,4796,6304,12386,12858
und,Sylo,und_Sylo,Undetermined,⁕,Po,FLOWER PUNCTUATION MARK,34687,5,"2020,2021,2022,2023,2024",0,0,0,0,0,49,4822,8727,11227,9862
und,Sylo,und_Sylo,Undetermined,ꠙ,Lo,SYLOTI NAGRI LETTER PO,33884,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,49,56,54,4415,6828,11856,10624
und,Sylo,und_Sylo,Undetermined,",",Po,COMMA,25866,9,"2014,2015,2018,2019,2020,2021,2022,2023,2024",2,2,0,10,12,79,4413,7561,8024,5763
und,Sylo,und_Sylo,Undetermined,a,Ll,LATIN SMALL LETTER A,24869,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",0,4,6,74,70,96,3943,4355,8564,7757
und,Sylo,und_Sylo,Undetermined,.,Po,FULL STOP,23410,9,"2014,2015,2018,2019,2020,2021,2022,2023,2024",4,4,0,6,36,70,4898,6385,7055,4952
und,Sylo,und_Sylo,Undetermined,-,Pd,HYPHEN-MINUS,21661,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,88,335,946,151,2141,3513,7066,7421
und,Sylo,und_Sylo,Undetermined,/,Po,SOLIDUS,21613,8,"2015,2018,2019,2020,2021,2022,2023,2024",0,2,0,8,4,74,1033,1665,7173,11654
und,Sylo,und_Sylo,Undetermined,ꠜ,Lo,SYLOTI NAGRI LETTER BHO,21572,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,53,44,30,2977,4965,6840,6661
und,Sylo,und_Sylo,Undetermined,ꠧ,Mc,SYLOTI NAGRI VOWEL SIGN OO,19498,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",385,385,2,8,40,59,2729,5255,6846,3789
und,Sylo,und_Sylo,Undetermined,t,Ll,LATIN SMALL LETTER T,19402,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",0,3,4,79,66,119,1550,2276,6565,8740
und,Sylo,und_Sylo,Undetermined,o,Ll,LATIN SMALL LETTER O,19179,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",2,8,2,56,38,93,2723,3672,6601,5984
und,Sylo,und_Sylo,Undetermined,ꠠ,Lo,SYLOTI NAGRI LETTER RRO,19107,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,16,31,12,3152,5432,5951,4511
und,Sylo,und_Sylo,Undetermined,ꠒ,Lo,SYLOTI NAGRI LETTER DDO,18592,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,9,26,15,2184,3591,5718,7047
und,Sylo,und_Sylo,Undetermined,r,Ll,LATIN SMALL LETTER R,18364,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",1,3,2,45,37,83,2841,3584,6604,5164
und,Sylo,und_Sylo,Undetermined,ꠋ,Mn,SYLOTI NAGRI SIGN ANUSVARA,18062,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,36,49,41,2541,4621,6003,4769
und,Sylo,und_Sylo,Undetermined,l,Ll,LATIN SMALL LETTER L,17850,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",3,7,4,45,54,66,950,1356,6346,9019
und,Sylo,und_Sylo,Undetermined,i,Ll,LATIN SMALL LETTER I,17844,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",1,3,4,91,73,99,1948,2133,6544,6948
und,Sylo,und_Sylo,Undetermined,ꠌ,Lo,SYLOTI NAGRI LETTER CO,17195,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,20,32,23,2706,3839,5544,5029
und,Sylo,und_Sylo,Undetermined,s,Ll,LATIN SMALL LETTER S,17176,8,"2015,2018,2019,2020,2021,2022,2023,2024",0,2,0,49,30,50,966,1650,6585,7844
und,Sylo,und_Sylo,Undetermined,d,Ll,LATIN SMALL LETTER D,15428,8,"2015,2018,2019,2020,2021,2022,2023,2024",0,5,0,35,18,50,2292,2803,5032,5193
und,Sylo,und_Sylo,Undetermined,ꠕ,Lo,SYLOTI NAGRI LETTER THO,14326,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,13,29,14,1841,3502,4504,4421
und,Sylo,und_Sylo,Undetermined,ꠗ,Lo,SYLOTI NAGRI LETTER DHO,13468,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,13,32,23,2010,3284,4257,3847
und,Sylo,und_Sylo,Undetermined,n,Ll,LATIN SMALL LETTER N,12126,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",0,3,2,36,26,64,1062,1242,4471,5220
und,Sylo,und_Sylo,Undetermined,ꠏ,Lo,SYLOTI NAGRI LETTER JHO,11599,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",1015,1015,2,9,31,22,733,1230,4107,3435
und,Sylo,und_Sylo,Undetermined,y,Ll,LATIN SMALL LETTER Y,10832,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,26,33,32,403,832,4003,5501
und,Sylo,und_Sylo,Undetermined,।,Po,DEVANAGARI DANDA,10270,7,"2018,2019,2020,2021,2022,2023,2024",0,0,0,21,23,38,1750,3239,3348,1851
und,Sylo,und_Sylo,Undetermined,),Pe,RIGHT PARENTHESIS,9905,9,"2014,2015,2018,2019,2020,2021,2022,2023,2024",1,1,0,13,9,30,1562,2185,3531,2573
und,Sylo,und_Sylo,Undetermined,(,Ps,LEFT PARENTHESIS,9893,9,"2014,2015,2018,2019,2020,2021,2022,2023,2024",1,1,0,13,9,29,1560,2199,3515,2566
und,Sylo,und_Sylo,Undetermined,:,Po,COLON,9222,9,"2014,2015,2018,2019,2020,2021,2022,2023,2024",8,11,0,23,14,17,889,1533,3344,3383
und,Sylo,und_Sylo,Undetermined,ꠂ,Mn,SYLOTI NAGRI SIGN DVISVARA,8543,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,9,34,30,790,1173,2411,4094
und,Sylo,und_Sylo,Undetermined,W,Lu,LATIN CAPITAL LETTER W,8260,8,"2015,2018,2019,2020,2021,2022,2023,2024",0,1,0,4,2,8,64,397,2976,4808
und,Sylo,und_Sylo,Undetermined,ꠊ,Lo,SYLOTI NAGRI LETTER GHO,8015,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,9,25,5,1234,2201,2459,2080
und,Sylo,und_Sylo,Undetermined,—,Pd,EM DASH,7823,4,"2021,2022,2023,2024",0,0,0,0,0,0,2398,2577,2172,676
und,Sylo,und_Sylo,Undetermined,p,Ll,LATIN SMALL LETTER P,7609,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",3,3,2,20,14,25,401,480,2564,4097
und,Sylo,und_Sylo,Undetermined,১,Nd,BENGALI DIGIT ONE,7287,6,"2019,2020,2021,2022,2023,2024",0,0,0,0,9,24,1629,2655,2264,706
und,Sylo,und_Sylo,Undetermined,h,Ll,LATIN SMALL LETTER H,7131,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",0,1,2,25,20,44,997,1219,2655,2168
und,Sylo,und_Sylo,Undetermined,u,Ll,LATIN SMALL LETTER U,6987,9,"2014,2015,2018,2019,2020,2021,2022,2023,2024",1,3,0,20,8,46,828,878,2655,2548
und,Sylo,und_Sylo,Undetermined,R,Lu,LATIN CAPITAL LETTER R,6902,5,"2020,2021,2022,2023,2024",0,0,0,0,0,1,1545,1892,2137,1327
und,Sylo,und_Sylo,Undetermined,M,Lu,LATIN CAPITAL LETTER M,6865,7,"2018,2019,2020,2021,2022,2023,2024",0,0,0,5,2,4,1638,1965,2075,1176
und,Sylo,und_Sylo,Undetermined,»,Pf,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,5972,4,"2021,2022,2023,2024",0,0,0,0,0,0,1491,1825,1709,947
und,Sylo,und_Sylo,Undetermined,m,Ll,LATIN SMALL LETTER M,5950,8,"2015,2018,2019,2020,2021,2022,2023,2024",0,1,0,7,6,27,504,676,1917,2812
und,Sylo,und_Sylo,Undetermined,c,Ll,LATIN SMALL LETTER C,5940,8,"2015,2018,2019,2020,2021,2022,2023,2024",0,1,0,2,4,43,534,846,1976,2534
und,Sylo,und_Sylo,Undetermined,0,Nd,DIGIT ZERO,5924,7,"2014,2015,2020,2021,2022,2023,2024",3,4,0,0,0,28,296,475,2027,3091
und,Sylo,und_Sylo,Undetermined,২,Nd,BENGALI DIGIT TWO,5871,7,"2018,2019,2020,2021,2022,2023,2024",0,0,0,3,7,15,1311,2116,1846,573
und,Sylo,und_Sylo,Undetermined,ꠑ,Lo,SYLOTI NAGRI LETTER TTHO,5065,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,9,25,10,593,1255,1589,1582
und,Sylo,und_Sylo,Undetermined,g,Ll,LATIN SMALL LETTER G,4868,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",0,1,2,35,31,31,424,697,1981,1666
und,Sylo,und_Sylo,Undetermined,b,Ll,LATIN SMALL LETTER B,4846,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,20,24,16,383,346,2107,1948
und,Sylo,und_Sylo,Undetermined,1,Nd,DIGIT ONE,4670,6,"2015,2020,2021,2022,2023,2024",0,3,0,0,0,12,226,339,1534,2556
und,Sylo,und_Sylo,Undetermined,০,Nd,BENGALI DIGIT ZERO,4401,5,"2020,2021,2022,2023,2024",0,0,0,0,0,3,1130,1491,1294,483
und,Sylo,und_Sylo,Undetermined,2,Nd,DIGIT TWO,4268,7,"2014,2015,2020,2021,2022,2023,2024",3,5,0,0,0,25,299,513,1611,1812
und,Sylo,und_Sylo,Undetermined,৩,Nd,BENGALI DIGIT THREE,4060,7,"2018,2019,2020,2021,2022,2023,2024",0,0,0,3,3,8,665,945,1400,1036
und,Sylo,und_Sylo,Undetermined,া,Mc,BENGALI VOWEL SIGN AA,3589,7,"2018,2019,2020,2021,2022,2023,2024",0,0,0,9,6,62,662,672,1214,964
und,Sylo,und_Sylo,Undetermined,꠨,So,SYLOTI NAGRI POETRY MARK-1,3427,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,2,9,25,5,6,7,1565,1808
und,Sylo,und_Sylo,Undetermined,k,Ll,LATIN SMALL LETTER K,3375,6,"2018,2020,2021,2022,2023,2024",0,0,0,7,0,27,633,518,1226,964
und,Sylo,und_Sylo,Undetermined,T,Lu,LATIN CAPITAL LETTER T,3141,8,"2015,2018,2019,2020,2021,2022,2023,2024",0,1,0,4,2,10,158,335,813,1818
und,Sylo,und_Sylo,Undetermined,_,Pc,LOW LINE,3067,4,"2021,2022,2023,2024",0,0,0,0,0,0,45,429,728,1865
und,Sylo,und_Sylo,Undetermined,৫,Nd,BENGALI DIGIT FIVE,3001,6,"2019,2020,2021,2022,2023,2024",0,0,0,0,3,9,693,1088,898,310
und,Sylo,und_Sylo,Undetermined,Γ,Lu,GREEK CAPITAL LETTER GAMMA,2994,2,"2023,2024",0,0,0,0,0,0,0,0,1168,1826
und,Sylo,und_Sylo,Undetermined,S,Lu,LATIN CAPITAL LETTER S,2854,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",7,10,2,21,28,15,271,255,1474,771
und,Sylo,und_Sylo,Undetermined,=,Sm,EQUALS SIGN,2427,4,"2021,2022,2023,2024",0,0,0,0,0,0,21,56,506,1844
und,Sylo,und_Sylo,Undetermined,f,Ll,LATIN SMALL LETTER F,2394,8,"2015,2018,2019,2020,2021,2022,2023,2024",0,2,0,4,10,19,244,325,1046,744
