iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
und,Telu,und_Telu,Undetermined, ,Zs,SPACE,949537,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7583,51894,51921,98355,27174,77732,31370,71888,315251,88549,125108,2712
und,Telu,und_Telu,Undetermined,ం,Mc,TELUGU SIGN ANUSVARA,129749,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",901,2640,4165,12136,3838,8426,1567,8917,39428,21816,25670,245
und,Telu,und_Telu,Undetermined,న,Lo,TELUGU LETTER NA,108889,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",737,3937,3643,12759,3477,13678,3153,8122,35247,8096,15727,313
und,Telu,und_Telu,Undetermined,ల,Lo,TELUGU LETTER LA,94447,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",765,3338,3969,15574,3974,12368,2665,6968,28852,5921,9926,127
und,Telu,und_Telu,Undetermined,వ,Lo,TELUGU LETTER VA,92440,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",336,2047,1707,10854,1571,5961,1614,3953,19029,3906,41026,436
und,Telu,und_Telu,Undetermined,మ,Lo,TELUGU LETTER MA,86328,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",346,1887,2071,21269,2921,14769,1699,6700,22311,4499,7564,292
und,Telu,und_Telu,Undetermined,ర,Lo,TELUGU LETTER RA,85561,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",565,2740,2646,11447,2438,7081,2538,7791,35192,4987,7431,705
und,Telu,und_Telu,Undetermined,క,Lo,TELUGU LETTER KA,78697,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",637,3238,3036,9475,3599,9123,2413,5215,27806,7097,6805,253
und,Telu,und_Telu,Undetermined,త,Lo,TELUGU LETTER TA,73095,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",456,2255,2209,13547,1709,5700,1839,5318,23870,5758,9919,515
und,Telu,und_Telu,Undetermined,ు,Mc,TELUGU VOWEL SIGN U,57002,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",229,882,1432,13640,5116,8296,880,10466,8916,668,6149,328
und,Telu,und_Telu,Undetermined,స,Lo,TELUGU LETTER SA,54476,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",331,1653,1771,5888,1337,3614,1634,4333,19027,3066,11499,323
und,Telu,und_Telu,Undetermined,ప,Lo,TELUGU LETTER PA,51701,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",486,2235,2250,5656,1936,5673,1749,4053,17590,4173,5667,233
und,Telu,und_Telu,Undetermined,.,Po,FULL STOP,51547,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",461,2254,2255,3512,1387,4813,1905,3011,15542,7759,8635,13
und,Telu,und_Telu,Undetermined,ద,Lo,TELUGU LETTER DA,48304,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",348,1832,1743,4813,1384,4470,1336,3467,17544,4094,7012,261
und,Telu,und_Telu,Undetermined,య,Lo,TELUGU LETTER YA,46220,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",232,1585,1356,5964,1550,3646,1270,3103,13542,2154,11570,248
und,Telu,und_Telu,Undetermined,అ,Lo,TELUGU LETTER A,40883,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",309,2255,2360,2586,1092,4341,1104,1978,13338,5503,5839,178
und,Telu,und_Telu,Undetermined,ా,Mn,TELUGU VOWEL SIGN AA,39354,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",307,1146,1888,9440,4242,7974,1367,900,7855,167,4039,29
und,Telu,und_Telu,Undetermined,",",Po,COMMA,38443,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",208,914,1111,1543,303,3153,2089,3014,13553,6444,6097,14
und,Telu,und_Telu,Undetermined,గ,Lo,TELUGU LETTER GA,35284,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",263,1363,1294,3873,1248,5566,1193,3689,11857,2285,2496,157
