iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
und,Tibt,und_Tibt,Undetermined, ,Zs,SPACE,863481,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1285,39322,32730,22612,78996,52535,94717,32009,330417,55509,66536,56813
und,Tibt,und_Tibt,Undetermined,ས,Lo,TIBETAN LETTER SA,250247,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",53,12552,9696,6462,20737,10798,19058,8014,130389,10688,16169,5631
und,Tibt,und_Tibt,Undetermined,་,Po,TIBETAN MARK INTERSYLLABIC TSHEG,216953,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",337,29323,23065,15460,35913,13447,29651,9057,12463,5894,29736,12607
und,Tibt,und_Tibt,Undetermined,ི,Mn,TIBETAN VOWEL SIGN I,179366,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",47,3544,2433,1420,17167,11553,8270,3447,86090,25625,15156,4614
und,Tibt,und_Tibt,Undetermined,ར,Lo,TIBETAN LETTER RA,166690,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",16,1415,835,473,10575,10224,23215,10806,79520,17239,9876,2496
und,Tibt,und_Tibt,Undetermined,བ,Lo,TIBETAN LETTER BA,162956,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",125,3732,2319,1347,8750,7855,12554,6121,92336,10924,12223,4670
und,Tibt,und_Tibt,Undetermined,ད,Lo,TIBETAN LETTER DA,149701,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",47,3380,2041,1148,10501,9667,18676,8802,79722,7060,6260,2397
und,Tibt,und_Tibt,Undetermined,ག,Lo,TIBETAN LETTER GA,147009,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",82,3833,2306,1275,6973,6042,10505,5455,96662,3603,7394,2879
und,Tibt,und_Tibt,Undetermined,ོ,Mn,TIBETAN VOWEL SIGN O,146505,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13,2904,2001,1160,7059,8674,13436,4706,88173,7651,7702,3026
und,Tibt,und_Tibt,Undetermined,ེ,Mn,TIBETAN VOWEL SIGN E,135477,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3,8491,7236,5117,15695,6760,6221,2150,58629,11874,9948,3353
und,Tibt,und_Tibt,Undetermined,མ,Lo,TIBETAN LETTER MA,123706,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",36,1599,894,488,10521,7517,9523,4127,65824,12760,7943,2474
und,Tibt,und_Tibt,Undetermined,ན,Lo,TIBETAN LETTER NA,123114,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",16,2689,1687,949,11961,6734,7989,4091,59807,16937,8247,2007
