iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2021_frequency
urt,Latn,urt_Latn,Urat, ,Zs,SPACE,96054,3,"2018,2019,2021",15979,79386,689
urt,Latn,urt_Latn,Urat,e,Ll,LATIN SMALL LETTER E,66196,3,"2018,2019,2021",10981,54755,460
urt,Latn,urt_Latn,Urat,i,Ll,LATIN SMALL LETTER I,45499,3,"2018,2019,2021",7990,37180,329
urt,Latn,urt_Latn,Urat,a,Ll,LATIN SMALL LETTER A,42506,3,"2018,2019,2021",7081,35109,316
urt,Latn,urt_Latn,Urat,n,Ll,LATIN SMALL LETTER N,29678,3,"2018,2019,2021",4793,24688,197
urt,Latn,urt_Latn,Urat,y,Ll,LATIN SMALL LETTER Y,22314,3,"2018,2019,2021",3520,18640,154
urt,Latn,urt_Latn,Urat,m,Ll,LATIN SMALL LETTER M,21914,3,"2018,2019,2021",4123,17649,142
urt,Latn,urt_Latn,Urat,p,Ll,LATIN SMALL LETTER P,20757,3,"2018,2019,2021",3521,17080,156
urt,Latn,urt_Latn,Urat,o,Ll,LATIN SMALL LETTER O,20048,3,"2018,2019,2021",3623,16242,183
urt,Latn,urt_Latn,Urat,t,Ll,LATIN SMALL LETTER T,17416,3,"2018,2019,2021",2906,14353,157
urt,Latn,urt_Latn,Urat,u,Ll,LATIN SMALL LETTER U,17095,3,"2018,2019,2021",2636,14320,139
urt,Latn,urt_Latn,Urat,ŋ,Ll,LATIN SMALL LETTER ENG,14419,3,"2018,2019,2021",2631,11698,90
urt,Latn,urt_Latn,Urat,k,Ll,LATIN SMALL LETTER K,13986,3,"2018,2019,2021",2197,11668,121
urt,Latn,urt_Latn,Urat,l,Ll,LATIN SMALL LETTER L,13425,3,"2018,2019,2021",2178,11138,109
urt,Latn,urt_Latn,Urat,s,Ll,LATIN SMALL LETTER S,11794,3,"2018,2019,2021",2316,9385,93
urt,Latn,urt_Latn,Urat,h,Ll,LATIN SMALL LETTER H,11354,3,"2018,2019,2021",1720,9541,93
urt,Latn,urt_Latn,Urat,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,11077,3,"2018,2019,2021",1860,9137,80
urt,Latn,urt_Latn,Urat,r,Ll,LATIN SMALL LETTER R,11066,3,"2018,2019,2021",1874,9120,72
urt,Latn,urt_Latn,Urat,g,Ll,LATIN SMALL LETTER G,10746,3,"2018,2019,2021",1686,8980,80
urt,Latn,urt_Latn,Urat,w,Ll,LATIN SMALL LETTER W,9587,3,"2018,2019,2021",1620,7900,67
urt,Latn,urt_Latn,Urat,",",Po,COMMA,7216,3,"2018,2019,2021",1146,6016,54
urt,Latn,urt_Latn,Urat,b,Ll,LATIN SMALL LETTER B,7153,3,"2018,2019,2021",1272,5833,48
urt,Latn,urt_Latn,Urat,.,Po,FULL STOP,6363,3,"2018,2019,2021",1009,5323,31
urt,Latn,urt_Latn,Urat,d,Ll,LATIN SMALL LETTER D,5126,3,"2018,2019,2021",852,4241,33
urt,Latn,urt_Latn,Urat,1,Nd,DIGIT ONE,2232,3,"2018,2019,2021",359,1863,10
urt,Latn,urt_Latn,Urat,G,Lu,LATIN CAPITAL LETTER G,1869,3,"2018,2019,2021",420,1430,19
urt,Latn,urt_Latn,Urat,K,Lu,LATIN CAPITAL LETTER K,1747,3,"2018,2019,2021",392,1348,7
urt,Latn,urt_Latn,Urat,2,Nd,DIGIT TWO,1440,3,"2018,2019,2021",192,1246,2
urt,Latn,urt_Latn,Urat,T,Lu,LATIN CAPITAL LETTER T,1355,3,"2018,2019,2021",251,1095,9
urt,Latn,urt_Latn,Urat,Ŋ,Lu,LATIN CAPITAL LETTER ENG,974,3,"2018,2019,2021",180,790,4
urt,Latn,urt_Latn,Urat,Y,Lu,LATIN CAPITAL LETTER Y,943,3,"2018,2019,2021",122,815,6
urt,Latn,urt_Latn,Urat,P,Lu,LATIN CAPITAL LETTER P,933,3,"2018,2019,2021",146,786,1
urt,Latn,urt_Latn,Urat,L,Lu,LATIN CAPITAL LETTER L,916,3,"2018,2019,2021",144,764,8
urt,Latn,urt_Latn,Urat,J,Lu,LATIN CAPITAL LETTER J,875,3,"2018,2019,2021",166,705,4
urt,Latn,urt_Latn,Urat,3,Nd,DIGIT THREE,848,3,"2018,2019,2021",87,759,2
urt,Latn,urt_Latn,Urat,j,Ll,LATIN SMALL LETTER J,816,3,"2018,2019,2021",118,694,4
urt,Latn,urt_Latn,Urat,4,Nd,DIGIT FOUR,628,3,"2018,2019,2021",80,546,2
urt,Latn,urt_Latn,Urat,5,Nd,DIGIT FIVE,543,3,"2018,2019,2021",60,481,2
urt,Latn,urt_Latn,Urat,M,Lu,LATIN CAPITAL LETTER M,494,3,"2018,2019,2021",59,434,1
urt,Latn,urt_Latn,Urat,6,Nd,DIGIT SIX,434,3,"2018,2019,2021",60,372,2
urt,Latn,urt_Latn,Urat,S,Lu,LATIN CAPITAL LETTER S,433,3,"2018,2019,2021",28,403,2
urt,Latn,urt_Latn,Urat,7,Nd,DIGIT SEVEN,432,3,"2018,2019,2021",57,373,2
urt,Latn,urt_Latn,Urat,9,Nd,DIGIT NINE,428,3,"2018,2019,2021",66,361,1
urt,Latn,urt_Latn,Urat,0,Nd,DIGIT ZERO,418,3,"2018,2019,2021",48,369,1
urt,Latn,urt_Latn,Urat,8,Nd,DIGIT EIGHT,389,3,"2018,2019,2021",61,327,1
urt,Latn,urt_Latn,Urat,A,Lu,LATIN CAPITAL LETTER A,341,2,"2018,2019",42,299,0
urt,Latn,urt_Latn,Urat,D,Lu,LATIN CAPITAL LETTER D,316,3,"2018,2019,2021",56,256,4
urt,Latn,urt_Latn,Urat,W,Lu,LATIN CAPITAL LETTER W,252,3,"2018,2019,2021",50,201,1
urt,Latn,urt_Latn,Urat,“,Pi,LEFT DOUBLE QUOTATION MARK,235,3,"2018,2019,2021",13,221,1
urt,Latn,urt_Latn,Urat,”,Pf,RIGHT DOUBLE QUOTATION MARK,235,3,"2018,2019,2021",13,221,1
urt,Latn,urt_Latn,Urat,N,Lu,LATIN CAPITAL LETTER N,220,2,"2018,2019",22,198,0
urt,Latn,urt_Latn,Urat,c,Ll,LATIN SMALL LETTER C,213,3,"2018,2019,2021",18,187,8
urt,Latn,urt_Latn,Urat,-,Pd,HYPHEN-MINUS,195,2,"2018,2019",28,167,0
urt,Latn,urt_Latn,Urat,?,Po,QUESTION MARK,169,3,"2018,2019,2021",10,158,1
urt,Latn,urt_Latn,Urat,f,Ll,LATIN SMALL LETTER F,163,3,"2018,2019,2021",24,136,3
urt,Latn,urt_Latn,Urat,O,Lu,LATIN CAPITAL LETTER O,152,3,"2018,2019,2021",31,119,2
urt,Latn,urt_Latn,Urat,B,Lu,LATIN CAPITAL LETTER B,152,2,"2018,2019",13,139,0
urt,Latn,urt_Latn,Urat,I,Lu,LATIN CAPITAL LETTER I,142,2,"2018,2019",5,137,0
urt,Latn,urt_Latn,Urat,H,Lu,LATIN CAPITAL LETTER H,116,2,"2018,2019",7,109,0
urt,Latn,urt_Latn,Urat,!,Po,EXCLAMATION MARK,110,2,"2018,2019",6,104,0
urt,Latn,urt_Latn,Urat,v,Ll,LATIN SMALL LETTER V,110,3,"2018,2019,2021",11,98,1
urt,Latn,urt_Latn,Urat,E,Lu,LATIN CAPITAL LETTER E,98,2,"2018,2019",16,82,0
urt,Latn,urt_Latn,Urat,R,Lu,LATIN CAPITAL LETTER R,68,2,"2018,2019",10,58,0
urt,Latn,urt_Latn,Urat,F,Lu,LATIN CAPITAL LETTER F,57,2,"2018,2019",11,46,0
urt,Latn,urt_Latn,Urat,*,Po,ASTERISK,49,2,"2018,2019",5,44,0
urt,Latn,urt_Latn,Urat,:,Po,COLON,29,2,"2018,2019",4,25,0
urt,Latn,urt_Latn,Urat,‘,Pi,LEFT SINGLE QUOTATION MARK,25,1,2019,0,25,0
urt,Latn,urt_Latn,Urat,’,Pf,RIGHT SINGLE QUOTATION MARK,25,1,2019,0,25,0
urt,Latn,urt_Latn,Urat,(,Ps,LEFT PARENTHESIS,22,1,2019,0,22,0
urt,Latn,urt_Latn,Urat,),Pe,RIGHT PARENTHESIS,22,1,2019,0,22,0
urt,Latn,urt_Latn,Urat,†,Po,DAGGER,15,2,"2018,2019",3,12,0
urt,Latn,urt_Latn,Urat,',Po,APOSTROPHE,7,1,2021,0,0,7
urt,Latn,urt_Latn,Urat,U,Lu,LATIN CAPITAL LETTER U,6,1,2019,0,6,0
urt,Latn,urt_Latn,Urat,#,Po,NUMBER SIGN,6,1,2019,0,6,0
urt,Latn,urt_Latn,Urat,–,Pd,EN DASH,2,1,2019,0,2,0
