iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2021_frequency,year_2022_frequency
usa,Latn,usa_Latn,Usarufa,a,Ll,LATIN SMALL LETTER A,169691,3,"2018,2021,2022",165612,1362,2717
usa,Latn,usa_Latn,Usarufa, ,Zs,SPACE,138673,3,"2018,2021,2022",135789,909,1975
usa,Latn,usa_Latn,Usarufa,á,Ll,LATIN SMALL LETTER A WITH ACUTE,102435,3,"2018,2021,2022",99764,828,1843
usa,Latn,usa_Latn,Usarufa,m,Ll,LATIN SMALL LETTER M,81195,3,"2018,2021,2022",79226,566,1403
usa,Latn,usa_Latn,Usarufa,t,Ll,LATIN SMALL LETTER T,64182,3,"2018,2021,2022",62795,415,972
usa,Latn,usa_Latn,Usarufa,n,Ll,LATIN SMALL LETTER N,60520,3,"2018,2021,2022",59102,509,909
usa,Latn,usa_Latn,Usarufa,i,Ll,LATIN SMALL LETTER I,57759,3,"2018,2021,2022",56459,486,814
usa,Latn,usa_Latn,Usarufa,e,Ll,LATIN SMALL LETTER E,55259,3,"2018,2021,2022",54129,399,731
usa,Latn,usa_Latn,Usarufa,r,Ll,LATIN SMALL LETTER R,46657,3,"2018,2021,2022",45770,303,584
usa,Latn,usa_Latn,Usarufa,k,Ll,LATIN SMALL LETTER K,44837,3,"2018,2021,2022",43696,297,844
usa,Latn,usa_Latn,Usarufa,q,Ll,LATIN SMALL LETTER Q,42558,3,"2018,2021,2022",41452,292,814
usa,Latn,usa_Latn,Usarufa,y,Ll,LATIN SMALL LETTER Y,34946,3,"2018,2021,2022",34139,260,547
usa,Latn,usa_Latn,Usarufa,o,Ll,LATIN SMALL LETTER O,30802,3,"2018,2021,2022",30284,160,358
usa,Latn,usa_Latn,Usarufa,u,Ll,LATIN SMALL LETTER U,28096,3,"2018,2021,2022",27481,173,442
usa,Latn,usa_Latn,Usarufa,í,Ll,LATIN SMALL LETTER I WITH ACUTE,23724,3,"2018,2021,2022",23108,154,462
usa,Latn,usa_Latn,Usarufa,-,Pd,HYPHEN-MINUS,23274,3,"2018,2021,2022",22718,167,389
usa,Latn,usa_Latn,Usarufa,w,Ll,LATIN SMALL LETTER W,21574,3,"2018,2021,2022",21120,131,323
usa,Latn,usa_Latn,Usarufa,b,Ll,LATIN SMALL LETTER B,16897,3,"2018,2021,2022",16556,102,239
usa,Latn,usa_Latn,Usarufa,é,Ll,LATIN SMALL LETTER E WITH ACUTE,14692,3,"2018,2021,2022",14314,129,249
usa,Latn,usa_Latn,Usarufa,.,Po,FULL STOP,13828,3,"2018,2021,2022",13489,125,214
usa,Latn,usa_Latn,Usarufa,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,12011,3,"2018,2021,2022",11709,143,159
usa,Latn,usa_Latn,Usarufa,s,Ll,LATIN SMALL LETTER S,11736,1,2018,11736,0,0
usa,Latn,usa_Latn,Usarufa,p,Ll,LATIN SMALL LETTER P,10288,3,"2018,2021,2022",10068,83,137
usa,Latn,usa_Latn,Usarufa,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,7410,3,"2018,2021,2022",7250,42,118
usa,Latn,usa_Latn,Usarufa,h,Ll,LATIN SMALL LETTER H,7397,1,2018,7397,0,0
usa,Latn,usa_Latn,Usarufa,g,Ll,LATIN SMALL LETTER G,6924,3,"2018,2021,2022",6768,74,82
usa,Latn,usa_Latn,Usarufa,d,Ll,LATIN SMALL LETTER D,4185,1,2018,4185,0,0
usa,Latn,usa_Latn,Usarufa,l,Ll,LATIN SMALL LETTER L,4057,1,2018,4057,0,0
usa,Latn,usa_Latn,Usarufa,c,Ll,LATIN SMALL LETTER C,3304,1,2018,3304,0,0
usa,Latn,usa_Latn,Usarufa,1,Nd,DIGIT ONE,3282,3,"2018,2021,2022",3218,17,47
usa,Latn,usa_Latn,Usarufa,Á,Lu,LATIN CAPITAL LETTER A WITH ACUTE,3219,3,"2018,2021,2022",3119,35,65
usa,Latn,usa_Latn,Usarufa,û,Ll,LATIN SMALL LETTER U WITH CIRCUMFLEX,3119,3,"2018,2021,2022",3028,32,59
usa,Latn,usa_Latn,Usarufa,T,Lu,LATIN CAPITAL LETTER T,2987,3,"2018,2021,2022",2964,6,17
usa,Latn,usa_Latn,Usarufa,Î,Lu,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,2501,3,"2018,2021,2022",2440,22,39
usa,Latn,usa_Latn,Usarufa,ô,Ll,LATIN SMALL LETTER O WITH CIRCUMFLEX,2356,3,"2018,2021,2022",2276,14,66
usa,Latn,usa_Latn,Usarufa,",",Po,COMMA,2301,3,"2018,2021,2022",2283,4,14
usa,Latn,usa_Latn,Usarufa,V,Lu,LATIN CAPITAL LETTER V,2172,1,2018,2172,0,0
usa,Latn,usa_Latn,Usarufa,2,Nd,DIGIT TWO,2045,3,"2018,2021,2022",2006,15,24
usa,Latn,usa_Latn,Usarufa,',Po,APOSTROPHE,2028,1,2018,2028,0,0
usa,Latn,usa_Latn,Usarufa,S,Lu,LATIN CAPITAL LETTER S,1822,1,2018,1822,0,0
usa,Latn,usa_Latn,Usarufa,f,Ll,LATIN SMALL LETTER F,1791,1,2018,1791,0,0
usa,Latn,usa_Latn,Usarufa,v,Ll,LATIN SMALL LETTER V,1701,1,2018,1701,0,0
usa,Latn,usa_Latn,Usarufa,E,Lu,LATIN CAPITAL LETTER E,1679,1,2018,1679,0,0
usa,Latn,usa_Latn,Usarufa,“,Pi,LEFT DOUBLE QUOTATION MARK,1593,3,"2018,2021,2022",1550,33,10
usa,Latn,usa_Latn,Usarufa,”,Pf,RIGHT DOUBLE QUOTATION MARK,1572,3,"2018,2021,2022",1531,31,10
usa,Latn,usa_Latn,Usarufa,K,Lu,LATIN CAPITAL LETTER K,1532,3,"2018,2021,2022",1503,1,28
usa,Latn,usa_Latn,Usarufa,P,Lu,LATIN CAPITAL LETTER P,1402,3,"2018,2021,2022",1381,10,11
usa,Latn,usa_Latn,Usarufa,:,Po,COLON,1390,3,"2018,2021,2022",1355,30,5
usa,Latn,usa_Latn,Usarufa,î,Ll,LATIN SMALL LETTER I WITH CIRCUMFLEX,1306,3,"2018,2021,2022",1280,12,14
usa,Latn,usa_Latn,Usarufa,3,Nd,DIGIT THREE,1273,3,"2018,2021,2022",1247,15,11
usa,Latn,usa_Latn,Usarufa,x,Ll,LATIN SMALL LETTER X,1198,1,2018,1198,0,0
usa,Latn,usa_Latn,Usarufa,H,Lu,LATIN CAPITAL LETTER H,1075,1,2018,1075,0,0
usa,Latn,usa_Latn,Usarufa,ê,Ll,LATIN SMALL LETTER E WITH CIRCUMFLEX,986,3,"2018,2021,2022",950,5,31
usa,Latn,usa_Latn,Usarufa,N,Lu,LATIN CAPITAL LETTER N,978,2,"2018,2021",970,8,0
usa,Latn,usa_Latn,Usarufa,I,Lu,LATIN CAPITAL LETTER I,962,3,"2018,2021,2022",960,1,1
usa,Latn,usa_Latn,Usarufa,4,Nd,DIGIT FOUR,939,3,"2018,2021,2022",913,16,10
usa,Latn,usa_Latn,Usarufa,U,Lu,LATIN CAPITAL LETTER U,928,1,2018,928,0,0
usa,Latn,usa_Latn,Usarufa,Y,Lu,LATIN CAPITAL LETTER Y,898,3,"2018,2021,2022",859,31,8
usa,Latn,usa_Latn,Usarufa,A,Lu,LATIN CAPITAL LETTER A,878,3,"2018,2021,2022",840,31,7
usa,Latn,usa_Latn,Usarufa,0,Nd,DIGIT ZERO,796,3,"2018,2021,2022",782,7,7
usa,Latn,usa_Latn,Usarufa,?,Po,QUESTION MARK,763,3,"2018,2021,2022",748,14,1
usa,Latn,usa_Latn,Usarufa,G,Lu,LATIN CAPITAL LETTER G,731,1,2018,731,0,0
usa,Latn,usa_Latn,Usarufa,8,Nd,DIGIT EIGHT,721,3,"2018,2021,2022",709,5,7
usa,Latn,usa_Latn,Usarufa,5,Nd,DIGIT FIVE,707,3,"2018,2021,2022",690,7,10
usa,Latn,usa_Latn,Usarufa,6,Nd,DIGIT SIX,598,3,"2018,2021,2022",586,5,7
usa,Latn,usa_Latn,Usarufa,C,Lu,LATIN CAPITAL LETTER C,578,1,2018,578,0,0
usa,Latn,usa_Latn,Usarufa,J,Lu,LATIN CAPITAL LETTER J,575,1,2018,575,0,0
usa,Latn,usa_Latn,Usarufa,7,Nd,DIGIT SEVEN,566,3,"2018,2021,2022",554,5,7
usa,Latn,usa_Latn,Usarufa,9,Nd,DIGIT NINE,514,3,"2018,2021,2022",502,5,7
usa,Latn,usa_Latn,Usarufa,â,Ll,LATIN SMALL LETTER A WITH CIRCUMFLEX,496,3,"2018,2021,2022",474,2,20
usa,Latn,usa_Latn,Usarufa,Í,Lu,LATIN CAPITAL LETTER I WITH ACUTE,445,3,"2018,2021,2022",439,4,2
usa,Latn,usa_Latn,Usarufa,W,Lu,LATIN CAPITAL LETTER W,439,2,"2018,2021",438,1,0
usa,Latn,usa_Latn,Usarufa,M,Lu,LATIN CAPITAL LETTER M,438,3,"2018,2021,2022",426,6,6
usa,Latn,usa_Latn,Usarufa,B,Lu,LATIN CAPITAL LETTER B,419,3,"2018,2021,2022",416,2,1
usa,Latn,usa_Latn,Usarufa,’,Pf,RIGHT SINGLE QUOTATION MARK,395,2,"2018,2021",392,3,0
usa,Latn,usa_Latn,Usarufa,‘,Pi,LEFT SINGLE QUOTATION MARK,394,2,"2018,2021",391,3,0
usa,Latn,usa_Latn,Usarufa,!,Po,EXCLAMATION MARK,356,3,"2018,2021,2022",345,10,1
usa,Latn,usa_Latn,Usarufa,D,Lu,LATIN CAPITAL LETTER D,350,1,2018,350,0,0
usa,Latn,usa_Latn,Usarufa,),Pe,RIGHT PARENTHESIS,335,2,"2018,2021",331,4,0
usa,Latn,usa_Latn,Usarufa,(,Ps,LEFT PARENTHESIS,335,2,"2018,2021",331,4,0
usa,Latn,usa_Latn,Usarufa,R,Lu,LATIN CAPITAL LETTER R,241,1,2018,241,0,0
