iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2022_frequency,year_2023_frequency
uvh,Latn,uvh_Latn,Uri,a,Ll,LATIN SMALL LETTER A,258176,3,"2019,2022,2023",772,28790,228614
uvh,Latn,uvh_Latn,Uri, ,Zs,SPACE,244936,3,"2019,2022,2023",822,27412,216702
uvh,Latn,uvh_Latn,Uri,n,Ll,LATIN SMALL LETTER N,171795,3,"2019,2022,2023",563,19036,152196
uvh,Latn,uvh_Latn,Uri,i,Ll,LATIN SMALL LETTER I,161865,3,"2019,2022,2023",541,18144,143180
uvh,Latn,uvh_Latn,Uri,g,Ll,LATIN SMALL LETTER G,137278,3,"2019,2022,2023",373,14955,121950
uvh,Latn,uvh_Latn,Uri,k,Ll,LATIN SMALL LETTER K,73463,3,"2019,2022,2023",130,8441,64892
uvh,Latn,uvh_Latn,Uri,u,Ll,LATIN SMALL LETTER U,57660,3,"2019,2022,2023",140,6475,51045
uvh,Latn,uvh_Latn,Uri,',Po,APOSTROPHE,53329,3,"2019,2022,2023",120,5855,47354
uvh,Latn,uvh_Latn,Uri,m,Ll,LATIN SMALL LETTER M,51864,3,"2019,2022,2023",166,5536,46162
uvh,Latn,uvh_Latn,Uri,t,Ll,LATIN SMALL LETTER T,46145,3,"2019,2022,2023",105,5188,40852
uvh,Latn,uvh_Latn,Uri,r,Ll,LATIN SMALL LETTER R,41780,3,"2019,2022,2023",142,4723,36915
uvh,Latn,uvh_Latn,Uri,s,Ll,LATIN SMALL LETTER S,37365,3,"2019,2022,2023",123,4246,32996
uvh,Latn,uvh_Latn,Uri,d,Ll,LATIN SMALL LETTER D,34402,3,"2019,2022,2023",103,3828,30471
uvh,Latn,uvh_Latn,Uri,w,Ll,LATIN SMALL LETTER W,24400,3,"2019,2022,2023",122,2682,21596
uvh,Latn,uvh_Latn,Uri,o,Ll,LATIN SMALL LETTER O,23433,3,"2019,2022,2023",117,2635,20681
uvh,Latn,uvh_Latn,Uri,e,Ll,LATIN SMALL LETTER E,21493,3,"2019,2022,2023",106,2508,18879
uvh,Latn,uvh_Latn,Uri,b,Ll,LATIN SMALL LETTER B,17956,3,"2019,2022,2023",76,1935,15945
uvh,Latn,uvh_Latn,Uri,p,Ll,LATIN SMALL LETTER P,12533,3,"2019,2022,2023",53,1366,11114
uvh,Latn,uvh_Latn,Uri,f,Ll,LATIN SMALL LETTER F,11047,3,"2019,2022,2023",29,1192,9826
uvh,Latn,uvh_Latn,Uri,.,Po,FULL STOP,10349,3,"2019,2022,2023",67,1131,9151
uvh,Latn,uvh_Latn,Uri,y,Ll,LATIN SMALL LETTER Y,10084,3,"2019,2022,2023",27,1172,8885
uvh,Latn,uvh_Latn,Uri,A,Lu,LATIN CAPITAL LETTER A,6505,3,"2019,2022,2023",40,910,5555
uvh,Latn,uvh_Latn,Uri,K,Lu,LATIN CAPITAL LETTER K,5360,3,"2019,2022,2023",36,663,4661
uvh,Latn,uvh_Latn,Uri,",",Po,COMMA,5132,3,"2019,2022,2023",13,558,4561
uvh,Latn,uvh_Latn,Uri,J,Lu,LATIN CAPITAL LETTER J,3513,3,"2019,2022,2023",41,415,3057
uvh,Latn,uvh_Latn,Uri,1,Nd,DIGIT ONE,3119,3,"2019,2022,2023",17,335,2767
uvh,Latn,uvh_Latn,Uri,2,Nd,DIGIT TWO,2136,3,"2019,2022,2023",9,201,1926
uvh,Latn,uvh_Latn,Uri,N,Lu,LATIN CAPITAL LETTER N,1882,3,"2019,2022,2023",2,211,1669
uvh,Latn,uvh_Latn,Uri,l,Ll,LATIN SMALL LETTER L,1856,3,"2019,2022,2023",32,324,1500
uvh,Latn,uvh_Latn,Uri,3,Nd,DIGIT THREE,1368,3,"2019,2022,2023",3,115,1250
uvh,Latn,uvh_Latn,Uri,M,Lu,LATIN CAPITAL LETTER M,1094,3,"2019,2022,2023",16,126,952
uvh,Latn,uvh_Latn,Uri,4,Nd,DIGIT FOUR,1053,3,"2019,2022,2023",6,111,936
uvh,Latn,uvh_Latn,Uri,5,Nd,DIGIT FIVE,799,3,"2019,2022,2023",3,81,715
uvh,Latn,uvh_Latn,Uri,6,Nd,DIGIT SIX,716,3,"2019,2022,2023",2,70,644
uvh,Latn,uvh_Latn,Uri,7,Nd,DIGIT SEVEN,636,3,"2019,2022,2023",2,71,563
uvh,Latn,uvh_Latn,Uri,8,Nd,DIGIT EIGHT,626,3,"2019,2022,2023",2,65,559
uvh,Latn,uvh_Latn,Uri,0,Nd,DIGIT ZERO,621,3,"2019,2022,2023",2,56,563
uvh,Latn,uvh_Latn,Uri,-,Pd,HYPHEN-MINUS,614,2,"2022,2023",0,53,561
uvh,Latn,uvh_Latn,Uri,9,Nd,DIGIT NINE,586,3,"2019,2022,2023",2,57,527
uvh,Latn,uvh_Latn,Uri,B,Lu,LATIN CAPITAL LETTER B,565,3,"2019,2022,2023",9,86,470
uvh,Latn,uvh_Latn,Uri,S,Lu,LATIN CAPITAL LETTER S,534,3,"2019,2022,2023",13,84,437
uvh,Latn,uvh_Latn,Uri,P,Lu,LATIN CAPITAL LETTER P,519,3,"2019,2022,2023",2,71,446
uvh,Latn,uvh_Latn,Uri,W,Lu,LATIN CAPITAL LETTER W,500,2,"2022,2023",0,45,455
uvh,Latn,uvh_Latn,Uri,:,Po,COLON,416,2,"2022,2023",0,21,395
uvh,Latn,uvh_Latn,Uri,T,Lu,LATIN CAPITAL LETTER T,368,3,"2019,2022,2023",2,54,312
uvh,Latn,uvh_Latn,Uri,I,Lu,LATIN CAPITAL LETTER I,367,3,"2019,2022,2023",3,40,324
uvh,Latn,uvh_Latn,Uri,v,Ll,LATIN SMALL LETTER V,360,3,"2019,2022,2023",8,41,311
uvh,Latn,uvh_Latn,Uri,E,Lu,LATIN CAPITAL LETTER E,260,3,"2019,2022,2023",22,60,178
uvh,Latn,uvh_Latn,Uri,;,Po,SEMICOLON,205,2,"2022,2023",0,9,196
uvh,Latn,uvh_Latn,Uri,h,Ll,LATIN SMALL LETTER H,200,3,"2019,2022,2023",9,11,180
uvh,Latn,uvh_Latn,Uri,G,Lu,LATIN CAPITAL LETTER G,199,2,"2022,2023",0,27,172
uvh,Latn,uvh_Latn,Uri,L,Lu,LATIN CAPITAL LETTER L,153,2,"2022,2023",0,19,134
uvh,Latn,uvh_Latn,Uri,F,Lu,LATIN CAPITAL LETTER F,141,2,"2022,2023",0,28,113
uvh,Latn,uvh_Latn,Uri,H,Lu,LATIN CAPITAL LETTER H,104,3,"2019,2022,2023",4,7,93
uvh,Latn,uvh_Latn,Uri,R,Lu,LATIN CAPITAL LETTER R,99,3,"2019,2022,2023",6,20,73
uvh,Latn,uvh_Latn,Uri,D,Lu,LATIN CAPITAL LETTER D,99,3,"2019,2022,2023",7,19,73
uvh,Latn,uvh_Latn,Uri,O,Lu,LATIN CAPITAL LETTER O,93,3,"2019,2022,2023",3,27,63
uvh,Latn,uvh_Latn,Uri,“,Pi,LEFT DOUBLE QUOTATION MARK,93,2,"2022,2023",0,5,88
uvh,Latn,uvh_Latn,Uri,”,Pf,RIGHT DOUBLE QUOTATION MARK,93,2,"2022,2023",0,5,88
uvh,Latn,uvh_Latn,Uri,U,Lu,LATIN CAPITAL LETTER U,56,2,"2022,2023",0,4,52
uvh,Latn,uvh_Latn,Uri,Y,Lu,LATIN CAPITAL LETTER Y,39,3,"2019,2022,2023",1,6,32
uvh,Latn,uvh_Latn,Uri,j,Ll,LATIN SMALL LETTER J,33,2,"2022,2023",0,5,28
