iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
uzn,Latn,uzn_Latn,Northern Uzbek,a,Ll,LATIN SMALL LETTER A,556706899,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",270213,877190,737718,6592118,27422696,26793423,60026791,97200655,89022769,110991837,97501433,39270056
uzn,Latn,uzn_Latn,Northern Uzbek, ,Zs,SPACE,550489312,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",262459,851619,748044,6518945,27322242,25424162,58296435,95651854,87698695,111665635,96976987,39072235
uzn,Latn,uzn_Latn,Northern Uzbek,i,Ll,LATIN SMALL LETTER I,496869267,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",238857,757594,635980,5695592,24149760,23715995,53299267,88513165,79382490,97452571,87314384,35713612
uzn,Latn,uzn_Latn,Northern Uzbek,n,Ll,LATIN SMALL LETTER N,250775818,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",116545,368300,316984,2914533,12353519,11456278,26072601,45692717,40413164,48694507,44007766,18368904
uzn,Latn,uzn_Latn,Northern Uzbek,o,Ll,LATIN SMALL LETTER O,235103605,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",114863,369146,313524,2826603,12164696,11506184,25470326,41243820,37854383,45356151,41031811,16852098
uzn,Latn,uzn_Latn,Northern Uzbek,l,Ll,LATIN SMALL LETTER L,231775744,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",110691,363638,305104,2620715,10729296,10986644,24823458,39813782,36839803,47433935,40962138,16786540
uzn,Latn,uzn_Latn,Northern Uzbek,r,Ll,LATIN SMALL LETTER R,212028742,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",103736,342075,288208,2458691,10271135,10190176,23086710,36772369,33938255,42091074,37491900,14994413
uzn,Latn,uzn_Latn,Northern Uzbek,s,Ll,LATIN SMALL LETTER S,187414334,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",87605,278604,236252,2032796,8461849,8711372,20087927,33406182,29830423,37984598,32878315,13418411
uzn,Latn,uzn_Latn,Northern Uzbek,t,Ll,LATIN SMALL LETTER T,162186198,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",80619,250908,206422,1804003,7599159,7968888,17467768,27464205,25895824,32788698,28911878,11747826
uzn,Latn,uzn_Latn,Northern Uzbek,h,Ll,LATIN SMALL LETTER H,157248683,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",71437,223853,190524,1751996,7464466,7269127,16842503,28123186,24827313,32181826,27282039,11020413
uzn,Latn,uzn_Latn,Northern Uzbek,d,Ll,LATIN SMALL LETTER D,133299746,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",66709,218730,195354,1739997,7321857,6476950,14588196,22737646,21344990,26037606,23347310,9224401
uzn,Latn,uzn_Latn,Northern Uzbek,g,Ll,LATIN SMALL LETTER G,124623115,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",56512,181562,157875,1474507,6337765,5744137,12953517,23504170,19662571,24587023,21386464,8577012
uzn,Latn,uzn_Latn,Northern Uzbek,u,Ll,LATIN SMALL LETTER U,120908914,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",56236,179111,155144,1387731,5824368,5520952,13087789,21271241,19508024,24061370,21161632,8695316
uzn,Latn,uzn_Latn,Northern Uzbek,m,Ll,LATIN SMALL LETTER M,118828373,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",58564,182499,157437,1431470,6097341,5824054,12857896,20441966,18778962,24213381,20500726,8284077
uzn,Latn,uzn_Latn,Northern Uzbek,y,Ll,LATIN SMALL LETTER Y,101962929,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",53277,167949,141102,1234514,5286893,4915649,10791334,17554284,16433698,19947513,17981287,7455429
uzn,Latn,uzn_Latn,Northern Uzbek,b,Ll,LATIN SMALL LETTER B,100850231,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",48393,157172,137963,1295639,5676854,5051958,11083312,17837607,16349616,18677285,17417767,7116665
uzn,Latn,uzn_Latn,Northern Uzbek,k,Ll,LATIN SMALL LETTER K,99646990,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",46370,157650,129763,1155366,4874112,4769181,10829244,17760998,16055158,19321235,17423845,7124068
uzn,Latn,uzn_Latn,Northern Uzbek,e,Ll,LATIN SMALL LETTER E,90094921,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",43972,134516,124520,1109583,4545982,4148596,9240338,14572698,14553507,18970565,16224880,6425764
uzn,Latn,uzn_Latn,Northern Uzbek,q,Ll,LATIN SMALL LETTER Q,75370588,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",34716,112595,94574,891299,3928652,3510249,8278174,14022085,11983235,14489529,12889270,5136210
uzn,Latn,uzn_Latn,Northern Uzbek,z,Ll,LATIN SMALL LETTER Z,54670019,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",24986,79489,67431,622108,2729097,2599021,5712416,10527562,8687299,10094670,9408337,4117603
uzn,Latn,uzn_Latn,Northern Uzbek,v,Ll,LATIN SMALL LETTER V,54094441,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",26463,85622,69767,582049,2339201,2581758,5863279,9254644,8648434,10879990,9751977,4011257
uzn,Latn,uzn_Latn,Northern Uzbek,c,Ll,LATIN SMALL LETTER C,41990560,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",16733,51451,45247,428106,1858767,1743868,4185780,7176858,6569680,9634335,7290290,2989445
