iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
ven,Latn,ven_Latn,Venda, ,Zs,SPACE,2818760,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",39007,11799,4110,931,34879,81198,1242456,131480,834526,283807,97367,57200
ven,Latn,ven_Latn,Venda,a,Ll,LATIN SMALL LETTER A,2033782,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",30694,7626,2605,865,24757,59121,855045,95757,628052,215871,68005,45384
ven,Latn,ven_Latn,Venda,h,Ll,LATIN SMALL LETTER H,1225359,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",19700,4156,1293,489,15347,34484,533004,55927,366062,127598,40598,26701
ven,Latn,ven_Latn,Venda,i,Ll,LATIN SMALL LETTER I,1039954,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15686,4222,1518,430,12548,28892,459702,48303,304832,109632,32295,21894
ven,Latn,ven_Latn,Venda,n,Ll,LATIN SMALL LETTER N,839027,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11956,3694,1355,374,11041,25373,357303,39982,255973,88096,26324,17556
ven,Latn,ven_Latn,Venda,u,Ll,LATIN SMALL LETTER U,836737,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12458,3705,1108,330,10502,24611,368873,39619,245904,85970,26714,16943
ven,Latn,ven_Latn,Venda,e,Ll,LATIN SMALL LETTER E,719618,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10501,3121,1104,311,8771,22736,316364,33072,207164,75924,24893,15657
ven,Latn,ven_Latn,Venda,o,Ll,LATIN SMALL LETTER O,653095,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10215,2729,933,261,8779,20741,280585,30143,190658,68580,24061,15410
ven,Latn,ven_Latn,Venda,s,Ll,LATIN SMALL LETTER S,463955,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8516,1950,770,230,5836,14562,196052,22008,135437,50714,16946,10934
ven,Latn,ven_Latn,Venda,v,Ll,LATIN SMALL LETTER V,445325,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5708,1311,477,136,5624,10889,194624,19214,140596,45158,11790,9798
ven,Latn,ven_Latn,Venda,l,Ll,LATIN SMALL LETTER L,416262,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5950,1795,614,204,5840,12789,181554,20728,118038,43800,14964,9986
ven,Latn,ven_Latn,Venda,w,Ll,LATIN SMALL LETTER W,408376,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5802,1644,467,96,4395,11380,170912,21136,126181,43905,13305,9153
ven,Latn,ven_Latn,Venda,t,Ll,LATIN SMALL LETTER T,378184,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5732,1778,676,161,5253,12677,163494,20041,105684,39728,14384,8576
ven,Latn,ven_Latn,Venda,m,Ll,LATIN SMALL LETTER M,367178,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6109,1547,480,201,4646,11587,153555,17721,109766,39269,13312,8985
ven,Latn,ven_Latn,Venda,d,Ll,LATIN SMALL LETTER D,341323,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5957,1769,634,221,5538,10642,138445,17350,102396,37687,12222,8462
ven,Latn,ven_Latn,Venda,z,Ll,LATIN SMALL LETTER Z,333839,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5626,1434,345,102,3468,8212,155737,18414,90538,33443,9722,6798
ven,Latn,ven_Latn,Venda,r,Ll,LATIN SMALL LETTER R,224012,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3292,1080,431,75,2837,6416,101263,10897,61643,23064,7525,5489
ven,Latn,ven_Latn,Venda,g,Ll,LATIN SMALL LETTER G,217808,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3124,800,281,81,2727,6259,100300,9956,60708,21812,6910,4850
ven,Latn,ven_Latn,Venda,k,Ll,LATIN SMALL LETTER K,213355,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4550,854,279,103,2649,7170,86233,12375,59982,24310,9500,5350
ven,Latn,ven_Latn,Venda,f,Ll,LATIN SMALL LETTER F,155552,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2057,703,231,57,1895,4358,70234,7642,45456,15241,4537,3141
ven,Latn,ven_Latn,Venda,y,Ll,LATIN SMALL LETTER Y,146461,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3066,673,256,105,1890,6069,56039,7689,42671,16761,7709,3533
