iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
vol,Latn,vol_Latn,Volapük, ,Zs,SPACE,762832,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7597,58505,28293,10427,65348,40523,69191,115867,54083,49620,252383,10995
vol,Latn,vol_Latn,Volapük,i,Ll,LATIN SMALL LETTER I,374400,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3518,26658,12834,4693,30565,19175,31388,51204,23570,21868,143975,4952
vol,Latn,vol_Latn,Volapük,o,Ll,LATIN SMALL LETTER O,345993,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3062,22824,11221,4158,29818,19665,29913,50937,22288,19220,128277,4610
vol,Latn,vol_Latn,Volapük,a,Ll,LATIN SMALL LETTER A,342142,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3483,25698,13093,5016,26922,17163,27239,44631,22080,23393,128815,4609
vol,Latn,vol_Latn,Volapük,e,Ll,LATIN SMALL LETTER E,323876,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2943,24045,12295,4335,24840,18462,27486,44151,21775,20466,119146,3932
vol,Latn,vol_Latn,Volapük,n,Ll,LATIN SMALL LETTER N,322730,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3124,22043,12212,4246,25446,15981,25719,40449,19192,19678,130034,4606
vol,Latn,vol_Latn,Volapük,l,Ll,LATIN SMALL LETTER L,258761,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2428,19023,9088,3357,19965,14519,24258,39980,18659,16365,87905,3214
vol,Latn,vol_Latn,Volapük,s,Ll,LATIN SMALL LETTER S,222721,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2118,17547,8498,3247,20654,12451,20015,34823,16376,14151,69885,2956
vol,Latn,vol_Latn,Volapük,t,Ll,LATIN SMALL LETTER T,197059,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1884,13310,6783,2656,15572,10030,13810,21344,10250,10490,88599,2331
vol,Latn,vol_Latn,Volapük,k,Ll,LATIN SMALL LETTER K,187541,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1824,13554,6583,2450,16957,13129,17229,30377,14226,13309,55040,2863
vol,Latn,vol_Latn,Volapük,d,Ll,LATIN SMALL LETTER D,185680,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1932,13339,6780,2512,16514,9840,15538,27566,13301,11945,63847,2566
vol,Latn,vol_Latn,Volapük,m,Ll,LATIN SMALL LETTER M,149780,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1532,10437,4762,1955,11925,8185,14296,23464,11142,9186,50925,1971
vol,Latn,vol_Latn,Volapük,|,Sm,VERTICAL LINE,119656,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",284,307,329,210,1490,154,727,585,324,2155,112984,107
vol,Latn,vol_Latn,Volapük,b,Ll,LATIN SMALL LETTER B,105431,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",877,7664,3340,1174,9776,6957,10112,16704,7494,6089,33711,1533
vol,Latn,vol_Latn,Volapük,ä,Ll,LATIN SMALL LETTER A WITH DIAERESIS,104130,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",904,6933,3639,1448,7234,5361,8803,14747,6273,7237,39707,1844
vol,Latn,vol_Latn,Volapük,r,Ll,LATIN SMALL LETTER R,102786,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1065,8330,5180,1863,7758,4541,7032,9073,4795,7400,44307,1442
vol,Latn,vol_Latn,Volapük,p,Ll,LATIN SMALL LETTER P,98889,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",947,7384,3625,1309,8601,4395,8905,15274,7689,7586,31760,1414
vol,Latn,vol_Latn,Volapük,u,Ll,LATIN SMALL LETTER U,97126,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",848,7733,4090,1497,8224,6047,9505,13754,6775,6783,30472,1398
vol,Latn,vol_Latn,Volapük,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,87986,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",857,5308,2932,1049,6533,3091,5890,11379,5723,5973,37899,1352
vol,Latn,vol_Latn,Volapük,f,Ll,LATIN SMALL LETTER F,85742,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",746,6341,2696,1123,6735,4617,7169,11646,5074,4835,33730,1030
vol,Latn,vol_Latn,Volapük,ö,Ll,LATIN SMALL LETTER O WITH DIAERESIS,76182,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",750,5711,2449,958,8107,3942,7621,13726,6309,4598,20769,1242
vol,Latn,vol_Latn,Volapük,v,Ll,LATIN SMALL LETTER V,75948,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",691,5237,2368,913,6644,3198,5865,10550,5018,4296,30211,957
vol,Latn,vol_Latn,Volapük,.,Po,FULL STOP,75014,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",555,5605,2891,964,5828,2861,5370,8704,4067,3900,33436,833
vol,Latn,vol_Latn,Volapük,",",Po,COMMA,72466,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",700,5598,2457,902,6202,4588,6965,11390,5429,4699,22608,928
vol,Latn,vol_Latn,Volapük,g,Ll,LATIN SMALL LETTER G,63582,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",559,4651,2373,801,5647,3507,6068,10363,4719,4023,20004,867
vol,Latn,vol_Latn,Volapük,1,Nd,DIGIT ONE,32816,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",207,1923,1011,331,1507,592,1179,1763,1017,1753,21201,332
vol,Latn,vol_Latn,Volapük,c,Ll,LATIN SMALL LETTER C,31078,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",211,2006,1361,311,2142,2163,1779,2294,1253,1551,15677,330
vol,Latn,vol_Latn,Volapük,y,Ll,LATIN SMALL LETTER Y,27077,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",222,1799,1008,402,2174,975,1587,2608,1320,1930,12550,502
vol,Latn,vol_Latn,Volapük,L,Lu,LATIN CAPITAL LETTER L,25968,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",121,1127,622,222,823,429,952,1183,588,909,18738,254
vol,Latn,vol_Latn,Volapük,0,Nd,DIGIT ZERO,25924,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",166,1148,654,208,1585,341,700,779,718,810,18610,205
