iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2023_frequency,year_2024_frequency
wbm,Latn,wbm_Latn,Wa, ,Zs,SPACE,43881,6,"2017,2018,2019,2020,2023,2024",3571,29412,1161,9178,415,144
wbm,Latn,wbm_Latn,Wa,i,Ll,LATIN SMALL LETTER I,16435,6,"2017,2018,2019,2020,2023,2024",991,10745,503,4048,104,44
wbm,Latn,wbm_Latn,Wa,g,Ll,LATIN SMALL LETTER G,15135,6,"2017,2018,2019,2020,2023,2024",483,11405,183,2961,80,23
wbm,Latn,wbm_Latn,Wa,n,Ll,LATIN SMALL LETTER N,14718,6,"2017,2018,2019,2020,2023,2024",728,10406,315,3111,135,23
wbm,Latn,wbm_Latn,Wa,a,Ll,LATIN SMALL LETTER A,14627,6,"2017,2018,2019,2020,2023,2024",2132,8295,684,3150,295,71
wbm,Latn,wbm_Latn,Wa,e,Ll,LATIN SMALL LETTER E,10840,6,"2017,2018,2019,2020,2023,2024",1008,6765,322,2597,118,30
wbm,Latn,wbm_Latn,Wa,h,Ll,LATIN SMALL LETTER H,9389,6,"2017,2018,2019,2020,2023,2024",1150,6155,315,1661,74,34
wbm,Latn,wbm_Latn,Wa,o,Ll,LATIN SMALL LETTER O,9208,6,"2017,2018,2019,2020,2023,2024",497,5808,188,2633,54,28
wbm,Latn,wbm_Latn,Wa,x,Ll,LATIN SMALL LETTER X,8890,6,"2017,2018,2019,2020,2023,2024",794,5452,263,2280,47,54
wbm,Latn,wbm_Latn,Wa,u,Ll,LATIN SMALL LETTER U,6532,6,"2017,2018,2019,2020,2023,2024",631,4228,186,1333,116,38
wbm,Latn,wbm_Latn,Wa,m,Ll,LATIN SMALL LETTER M,6351,6,"2017,2018,2019,2020,2023,2024",631,3960,239,1470,34,17
wbm,Latn,wbm_Latn,Wa,d,Ll,LATIN SMALL LETTER D,5778,6,"2017,2018,2019,2020,2023,2024",179,4273,25,1286,9,6
wbm,Latn,wbm_Latn,Wa,b,Ll,LATIN SMALL LETTER B,3367,6,"2017,2018,2019,2020,2023,2024",25,2418,31,869,21,3
