iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency
wew,Latn,wew_Latn,Wejewa,a,Ll,LATIN SMALL LETTER A,113,1,2018,113
wew,Latn,wew_Latn,Wejewa, ,Zs,SPACE,105,1,2018,105
wew,Latn,wew_Latn,Wejewa,n,Ll,LATIN SMALL LETTER N,48,1,2018,48
wew,Latn,wew_Latn,Wejewa,e,Ll,LATIN SMALL LETTER E,45,1,2018,45
wew,Latn,wew_Latn,Wejewa,m,Ll,LATIN SMALL LETTER M,36,1,2018,36
wew,Latn,wew_Latn,Wejewa,i,Ll,LATIN SMALL LETTER I,29,1,2018,29
wew,Latn,wew_Latn,Wejewa,k,Ll,LATIN SMALL LETTER K,26,1,2018,26
wew,Latn,wew_Latn,Wejewa,u,Ll,LATIN SMALL LETTER U,22,1,2018,22
wew,Latn,wew_Latn,Wejewa,t,Ll,LATIN SMALL LETTER T,18,1,2018,18
wew,Latn,wew_Latn,Wejewa,w,Ll,LATIN SMALL LETTER W,17,1,2018,17
wew,Latn,wew_Latn,Wejewa,g,Ll,LATIN SMALL LETTER G,17,1,2018,17
wew,Latn,wew_Latn,Wejewa,o,Ll,LATIN SMALL LETTER O,17,1,2018,17
wew,Latn,wew_Latn,Wejewa,b,Ll,LATIN SMALL LETTER B,14,1,2018,14
wew,Latn,wew_Latn,Wejewa,d,Ll,LATIN SMALL LETTER D,12,1,2018,12
wew,Latn,wew_Latn,Wejewa,l,Ll,LATIN SMALL LETTER L,11,1,2018,11
wew,Latn,wew_Latn,Wejewa,p,Ll,LATIN SMALL LETTER P,11,1,2018,11
wew,Latn,wew_Latn,Wejewa,r,Ll,LATIN SMALL LETTER R,9,1,2018,9
wew,Latn,wew_Latn,Wejewa,.,Po,FULL STOP,8,1,2018,8
wew,Latn,wew_Latn,Wejewa,Y,Lu,LATIN CAPITAL LETTER Y,7,1,2018,7
wew,Latn,wew_Latn,Wejewa,",",Po,COMMA,6,1,2018,6
wew,Latn,wew_Latn,Wejewa,y,Ll,LATIN SMALL LETTER Y,5,1,2018,5
wew,Latn,wew_Latn,Wejewa,s,Ll,LATIN SMALL LETTER S,5,1,2018,5
wew,Latn,wew_Latn,Wejewa,A,Lu,LATIN CAPITAL LETTER A,4,1,2018,4
wew,Latn,wew_Latn,Wejewa,M,Lu,LATIN CAPITAL LETTER M,4,1,2018,4
wew,Latn,wew_Latn,Wejewa,B,Lu,LATIN CAPITAL LETTER B,4,1,2018,4
wew,Latn,wew_Latn,Wejewa,S,Lu,LATIN CAPITAL LETTER S,4,1,2018,4
wew,Latn,wew_Latn,Wejewa,h,Ll,LATIN SMALL LETTER H,3,1,2018,3
wew,Latn,wew_Latn,Wejewa,’,Pf,RIGHT SINGLE QUOTATION MARK,2,1,2018,2
wew,Latn,wew_Latn,Wejewa,-,Pd,HYPHEN-MINUS,2,1,2018,2
wew,Latn,wew_Latn,Wejewa,K,Lu,LATIN CAPITAL LETTER K,2,1,2018,2
wew,Latn,wew_Latn,Wejewa,O,Lu,LATIN CAPITAL LETTER O,1,1,2018,1
wew,Latn,wew_Latn,Wejewa,c,Ll,LATIN SMALL LETTER C,1,1,2018,1
wew,Latn,wew_Latn,Wejewa,P,Lu,LATIN CAPITAL LETTER P,1,1,2018,1
