iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2023_frequency
wnc,Latn,wnc_Latn,Wantoat,a,Ll,LATIN SMALL LETTER A,259740,3,"2017,2018,2023",240593,18915,232
wnc,Latn,wnc_Latn,Wantoat, ,Zs,SPACE,202313,3,"2017,2018,2023",188588,13506,219
wnc,Latn,wnc_Latn,Wantoat,n,Ll,LATIN SMALL LETTER N,154396,3,"2017,2018,2023",143282,10981,133
wnc,Latn,wnc_Latn,Wantoat,i,Ll,LATIN SMALL LETTER I,81466,3,"2017,2018,2023",75843,5540,83
wnc,Latn,wnc_Latn,Wantoat,k,Ll,LATIN SMALL LETTER K,77961,3,"2017,2018,2023",72138,5765,58
wnc,Latn,wnc_Latn,Wantoat,t,Ll,LATIN SMALL LETTER T,77112,3,"2017,2018,2023",71706,5308,98
wnc,Latn,wnc_Latn,Wantoat,u,Ll,LATIN SMALL LETTER U,75375,3,"2017,2018,2023",69873,5454,48
wnc,Latn,wnc_Latn,Wantoat,e,Ll,LATIN SMALL LETTER E,74008,3,"2017,2018,2023",69402,4519,87
wnc,Latn,wnc_Latn,Wantoat,g,Ll,LATIN SMALL LETTER G,73890,3,"2017,2018,2023",68361,5471,58
wnc,Latn,wnc_Latn,Wantoat,m,Ll,LATIN SMALL LETTER M,44051,3,"2017,2018,2023",40632,3381,38
wnc,Latn,wnc_Latn,Wantoat,s,Ll,LATIN SMALL LETTER S,36090,3,"2017,2018,2023",34045,2001,44
wnc,Latn,wnc_Latn,Wantoat,w,Ll,LATIN SMALL LETTER W,33950,3,"2017,2018,2023",31640,2292,18
wnc,Latn,wnc_Latn,Wantoat,p,Ll,LATIN SMALL LETTER P,30367,3,"2017,2018,2023",28346,1983,38
wnc,Latn,wnc_Latn,Wantoat,d,Ll,LATIN SMALL LETTER D,29619,3,"2017,2018,2023",27485,2109,25
wnc,Latn,wnc_Latn,Wantoat,y,Ll,LATIN SMALL LETTER Y,21403,3,"2017,2018,2023",19920,1462,21
wnc,Latn,wnc_Latn,Wantoat,o,Ll,LATIN SMALL LETTER O,20892,3,"2017,2018,2023",19902,928,62
wnc,Latn,wnc_Latn,Wantoat,.,Po,FULL STOP,17517,3,"2017,2018,2023",16260,1232,25
wnc,Latn,wnc_Latn,Wantoat,b,Ll,LATIN SMALL LETTER B,13513,3,"2017,2018,2023",12613,883,17
wnc,Latn,wnc_Latn,Wantoat,r,Ll,LATIN SMALL LETTER R,13045,3,"2017,2018,2023",12716,298,31
wnc,Latn,wnc_Latn,Wantoat,h,Ll,LATIN SMALL LETTER H,8421,3,"2017,2018,2023",8248,152,21
wnc,Latn,wnc_Latn,Wantoat,S,Lu,LATIN CAPITAL LETTER S,6994,3,"2017,2018,2023",6541,448,5
wnc,Latn,wnc_Latn,Wantoat,A,Lu,LATIN CAPITAL LETTER A,5883,3,"2017,2018,2023",5410,469,4
wnc,Latn,wnc_Latn,Wantoat,l,Ll,LATIN SMALL LETTER L,5736,3,"2017,2018,2023",5502,202,32
wnc,Latn,wnc_Latn,Wantoat,z,Ll,LATIN SMALL LETTER Z,4483,3,"2017,2018,2023",4201,272,10
wnc,Latn,wnc_Latn,Wantoat,N,Lu,LATIN CAPITAL LETTER N,3741,3,"2017,2018,2023",3500,235,6
wnc,Latn,wnc_Latn,Wantoat,",",Po,COMMA,3550,3,"2017,2018,2023",3465,73,12
wnc,Latn,wnc_Latn,Wantoat,c,Ll,LATIN SMALL LETTER C,3498,3,"2017,2018,2023",3436,45,17
wnc,Latn,wnc_Latn,Wantoat,1,Nd,DIGIT ONE,3369,3,"2017,2018,2023",3136,231,2
wnc,Latn,wnc_Latn,Wantoat,T,Lu,LATIN CAPITAL LETTER T,3151,3,"2017,2018,2023",3051,97,3
wnc,Latn,wnc_Latn,Wantoat,J,Lu,LATIN CAPITAL LETTER J,2694,2,"2017,2018",2468,226,0
wnc,Latn,wnc_Latn,Wantoat,V,Lu,LATIN CAPITAL LETTER V,2192,2,"2017,2018",2158,34,0
wnc,Latn,wnc_Latn,Wantoat,G,Lu,LATIN CAPITAL LETTER G,2190,3,"2017,2018,2023",2084,101,5
wnc,Latn,wnc_Latn,Wantoat,K,Lu,LATIN CAPITAL LETTER K,2182,3,"2017,2018,2023",2028,151,3
wnc,Latn,wnc_Latn,Wantoat,',Po,APOSTROPHE,2176,2,"2017,2018",2150,26,0
wnc,Latn,wnc_Latn,Wantoat,I,Lu,LATIN CAPITAL LETTER I,2031,3,"2017,2018,2023",1945,82,4
wnc,Latn,wnc_Latn,Wantoat,v,Ll,LATIN SMALL LETTER V,1975,3,"2017,2018,2023",1933,38,4
wnc,Latn,wnc_Latn,Wantoat,f,Ll,LATIN SMALL LETTER F,1942,3,"2017,2018,2023",1878,48,16
wnc,Latn,wnc_Latn,Wantoat,2,Nd,DIGIT TWO,1907,3,"2017,2018,2023",1780,124,3
wnc,Latn,wnc_Latn,Wantoat,E,Lu,LATIN CAPITAL LETTER E,1892,3,"2017,2018,2023",1855,36,1
wnc,Latn,wnc_Latn,Wantoat,W,Lu,LATIN CAPITAL LETTER W,1766,3,"2017,2018,2023",1666,91,9
wnc,Latn,wnc_Latn,Wantoat,U,Lu,LATIN CAPITAL LETTER U,1442,3,"2017,2018,2023",1377,62,3
wnc,Latn,wnc_Latn,Wantoat,P,Lu,LATIN CAPITAL LETTER P,1369,3,"2017,2018,2023",1287,77,5
wnc,Latn,wnc_Latn,Wantoat,x,Ll,LATIN SMALL LETTER X,1273,3,"2017,2018,2023",1255,16,2
wnc,Latn,wnc_Latn,Wantoat,H,Lu,LATIN CAPITAL LETTER H,1170,2,"2017,2018",1152,18,0
wnc,Latn,wnc_Latn,Wantoat,3,Nd,DIGIT THREE,1085,3,"2017,2018,2023",1036,48,1
wnc,Latn,wnc_Latn,Wantoat,B,Lu,LATIN CAPITAL LETTER B,1033,3,"2017,2018,2023",968,62,3
wnc,Latn,wnc_Latn,Wantoat,“,Pi,LEFT DOUBLE QUOTATION MARK,997,2,"2017,2018",974,23,0
wnc,Latn,wnc_Latn,Wantoat,”,Pf,RIGHT DOUBLE QUOTATION MARK,880,2,"2017,2018",857,23,0
wnc,Latn,wnc_Latn,Wantoat,Y,Lu,LATIN CAPITAL LETTER Y,875,3,"2017,2018,2023",839,35,1
wnc,Latn,wnc_Latn,Wantoat,D,Lu,LATIN CAPITAL LETTER D,865,3,"2017,2018,2023",809,51,5
wnc,Latn,wnc_Latn,Wantoat,4,Nd,DIGIT FOUR,826,2,"2017,2018",787,39,0
wnc,Latn,wnc_Latn,Wantoat,0,Nd,DIGIT ZERO,806,3,"2017,2018,2023",760,42,4
wnc,Latn,wnc_Latn,Wantoat,C,Lu,LATIN CAPITAL LETTER C,763,3,"2017,2018,2023",750,12,1
wnc,Latn,wnc_Latn,Wantoat,7,Nd,DIGIT SEVEN,710,3,"2017,2018,2023",672,37,1
wnc,Latn,wnc_Latn,Wantoat,M,Lu,LATIN CAPITAL LETTER M,687,3,"2017,2018,2023",614,70,3
wnc,Latn,wnc_Latn,Wantoat,?,Po,QUESTION MARK,670,3,"2017,2018,2023",626,43,1
wnc,Latn,wnc_Latn,Wantoat,5,Nd,DIGIT FIVE,658,2,"2017,2018",613,45,0
wnc,Latn,wnc_Latn,Wantoat,6,Nd,DIGIT SIX,568,2,"2017,2018",533,35,0
wnc,Latn,wnc_Latn,Wantoat,-,Pd,HYPHEN-MINUS,516,3,"2017,2018,2023",487,27,2
wnc,Latn,wnc_Latn,Wantoat,8,Nd,DIGIT EIGHT,510,3,"2017,2018,2023",467,41,2
wnc,Latn,wnc_Latn,Wantoat,9,Nd,DIGIT NINE,479,3,"2017,2018,2023",447,31,1
wnc,Latn,wnc_Latn,Wantoat,F,Lu,LATIN CAPITAL LETTER F,325,3,"2017,2018,2023",312,11,2
wnc,Latn,wnc_Latn,Wantoat,:,Po,COLON,322,3,"2017,2018,2023",268,53,1
wnc,Latn,wnc_Latn,Wantoat,L,Lu,LATIN CAPITAL LETTER L,281,3,"2017,2018,2023",268,12,1
wnc,Latn,wnc_Latn,Wantoat,R,Lu,LATIN CAPITAL LETTER R,279,2,"2017,2018",262,17,0
wnc,Latn,wnc_Latn,Wantoat,!,Po,EXCLAMATION MARK,251,2,"2017,2018",241,10,0
wnc,Latn,wnc_Latn,Wantoat,(,Ps,LEFT PARENTHESIS,247,3,"2017,2018,2023",240,4,3
wnc,Latn,wnc_Latn,Wantoat,),Pe,RIGHT PARENTHESIS,247,3,"2017,2018,2023",240,4,3
wnc,Latn,wnc_Latn,Wantoat,`,Sk,GRAVE ACCENT,183,2,"2017,2018",180,3,0
wnc,Latn,wnc_Latn,Wantoat,q,Ll,LATIN SMALL LETTER Q,183,2,"2017,2018",180,3,0
