iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2022_frequency,year_2023_frequency
wnu,Latn,wnu_Latn,Usan, ,Zs,SPACE,217469,5,"2017,2018,2019,2022,2023",2997,199929,1141,8153,5249
wnu,Latn,wnu_Latn,Usan,n,Ll,LATIN SMALL LETTER N,100860,5,"2017,2018,2019,2022,2023",1783,91600,503,4369,2605
wnu,Latn,wnu_Latn,Usan,e,Ll,LATIN SMALL LETTER E,97129,5,"2017,2018,2019,2022,2023",1232,89927,425,3374,2171
wnu,Latn,wnu_Latn,Usan,a,Ll,LATIN SMALL LETTER A,92704,5,"2017,2018,2019,2022,2023",1017,85842,480,3317,2048
wnu,Latn,wnu_Latn,Usan,i,Ll,LATIN SMALL LETTER I,92016,5,"2017,2018,2019,2022,2023",1186,84482,365,3738,2245
wnu,Latn,wnu_Latn,Usan,o,Ll,LATIN SMALL LETTER O,79673,5,"2017,2018,2019,2022,2023",1366,72330,539,3285,2153
wnu,Latn,wnu_Latn,Usan,r,Ll,LATIN SMALL LETTER R,71064,5,"2017,2018,2019,2022,2023",805,65958,383,2415,1503
wnu,Latn,wnu_Latn,Usan,u,Ll,LATIN SMALL LETTER U,70390,5,"2017,2018,2019,2022,2023",1212,63500,456,3208,2014
wnu,Latn,wnu_Latn,Usan,g,Ll,LATIN SMALL LETTER G,56885,5,"2017,2018,2019,2022,2023",990,51733,218,2382,1562
wnu,Latn,wnu_Latn,Usan,m,Ll,LATIN SMALL LETTER M,54971,5,"2017,2018,2019,2022,2023",830,50476,167,2085,1413
wnu,Latn,wnu_Latn,Usan,b,Ll,LATIN SMALL LETTER B,48143,5,"2017,2018,2019,2022,2023",570,44209,192,1920,1252
wnu,Latn,wnu_Latn,Usan,s,Ll,LATIN SMALL LETTER S,32207,5,"2017,2018,2019,2022,2023",197,30313,133,983,581
wnu,Latn,wnu_Latn,Usan,t,Ll,LATIN SMALL LETTER T,29993,5,"2017,2018,2019,2022,2023",345,27956,96,985,611
wnu,Latn,wnu_Latn,Usan,q,Ll,LATIN SMALL LETTER Q,25667,5,"2017,2018,2019,2022,2023",447,23444,78,976,722
wnu,Latn,wnu_Latn,Usan,d,Ll,LATIN SMALL LETTER D,18715,5,"2017,2018,2019,2022,2023",182,17529,63,580,361
wnu,Latn,wnu_Latn,Usan,w,Ll,LATIN SMALL LETTER W,16766,5,"2017,2018,2019,2022,2023",271,15317,184,636,358
wnu,Latn,wnu_Latn,Usan,.,Po,FULL STOP,13414,5,"2017,2018,2019,2022,2023",236,12153,94,562,369
wnu,Latn,wnu_Latn,Usan,y,Ll,LATIN SMALL LETTER Y,8943,5,"2017,2018,2019,2022,2023",71,8297,31,302,242
wnu,Latn,wnu_Latn,Usan,h,Ll,LATIN SMALL LETTER H,7846,4,"2017,2018,2019,2022",2,7786,24,34,0
