iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
wol,Latn,wol_Latn,Wolof, ,Zs,SPACE,3202877,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",77948,68383,38071,72184,211560,254447,495987,440295,555488,296749,431793,259972
wol,Latn,wol_Latn,Wolof,a,Ll,LATIN SMALL LETTER A,1820366,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",46377,36715,20906,38553,114240,146057,283097,247560,322283,171812,239335,153431
wol,Latn,wol_Latn,Wolof,e,Ll,LATIN SMALL LETTER E,1212479,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",25336,23790,14497,23986,98013,95472,199328,173025,207983,109210,148565,93274
wol,Latn,wol_Latn,Wolof,i,Ll,LATIN SMALL LETTER I,1032171,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",25143,21609,12339,21125,67600,80090,173787,143304,172427,93426,137177,84144
wol,Latn,wol_Latn,Wolof,o,Ll,LATIN SMALL LETTER O,936249,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",22105,18176,11286,19759,65879,73307,154427,135059,157504,83829,120180,74738
wol,Latn,wol_Latn,Wolof,n,Ll,LATIN SMALL LETTER N,908573,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",21498,19014,10842,20679,62929,74922,142456,126180,155433,84448,116467,73705
wol,Latn,wol_Latn,Wolof,u,Ll,LATIN SMALL LETTER U,762584,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",18854,16306,9251,15898,54863,60676,123515,110154,133809,72165,94357,52736
wol,Latn,wol_Latn,Wolof,l,Ll,LATIN SMALL LETTER L,689990,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",17153,13624,7605,14697,48531,56515,108315,95092,120345,62115,86721,59277
wol,Latn,wol_Latn,Wolof,m,Ll,LATIN SMALL LETTER M,558621,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",16123,11844,6465,11620,35578,43506,89664,77851,97503,51766,71698,45003
wol,Latn,wol_Latn,Wolof,t,Ll,LATIN SMALL LETTER T,545418,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11504,10164,5803,10683,43839,39679,87064,77924,93090,51001,68024,46643
wol,Latn,wol_Latn,Wolof,r,Ll,LATIN SMALL LETTER R,518729,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10552,9712,5767,9041,43134,37528,86960,76130,90296,46875,61578,41156
wol,Latn,wol_Latn,Wolof,s,Ll,LATIN SMALL LETTER S,481729,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9132,8651,5249,8346,44857,35708,88093,75197,85816,43510,52357,24813
wol,Latn,wol_Latn,Wolof,d,Ll,LATIN SMALL LETTER D,466964,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11290,9730,5276,9499,32768,38154,74076,65070,81587,43655,61250,34609
wol,Latn,wol_Latn,Wolof,k,Ll,LATIN SMALL LETTER K,412517,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11466,9192,5083,9782,24475,32447,61956,54970,72194,40800,55556,34596
wol,Latn,wol_Latn,Wolof,g,Ll,LATIN SMALL LETTER G,362491,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9411,8124,4655,9467,21398,29525,56487,48527,63827,33634,48523,28913
wol,Latn,wol_Latn,Wolof,y,Ll,LATIN SMALL LETTER Y,358568,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8853,7828,4633,8383,21456,28375,55991,48675,62548,33558,49566,28702
wol,Latn,wol_Latn,Wolof,b,Ll,LATIN SMALL LETTER B,342757,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9361,7514,4407,7588,19456,27658,51116,46449,60828,34239,45503,28638
wol,Latn,wol_Latn,Wolof,c,Ll,LATIN SMALL LETTER C,244129,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6096,5211,3068,5620,18153,18746,39744,33861,41164,21540,30581,20345
wol,Latn,wol_Latn,Wolof,w,Ll,LATIN SMALL LETTER W,207917,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5430,4423,2365,5480,11972,16811,29572,27089,35733,19563,30684,18795
wol,Latn,wol_Latn,Wolof,p,Ll,LATIN SMALL LETTER P,194831,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3229,3721,2094,3600,16694,13687,31376,27601,31885,16879,23523,20542
wol,Latn,wol_Latn,Wolof,é,Ll,LATIN SMALL LETTER E WITH ACUTE,180247,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3302,3040,2073,2626,12360,11773,28849,29904,31022,17325,22600,15373
wol,Latn,wol_Latn,Wolof,f,Ll,LATIN SMALL LETTER F,176675,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3705,3045,1839,3490,12218,14829,32039,25565,30882,15887,21689,11487
wol,Latn,wol_Latn,Wolof,",",Po,COMMA,174957,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6624,4856,2176,5649,7545,12322,21109,20242,32577,18215,27799,15843
wol,Latn,wol_Latn,Wolof,.,Po,FULL STOP,158729,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2422,3220,1880,3071,9959,13188,23503,20877,26981,15113,25193,13322
wol,Latn,wol_Latn,Wolof,j,Ll,LATIN SMALL LETTER J,154300,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5189,3819,1957,3776,7106,11171,20423,19362,28469,14895,23561,14572
wol,Latn,wol_Latn,Wolof,h,Ll,LATIN SMALL LETTER H,145268,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2532,1657,1216,1434,14478,13669,29993,25406,26066,13869,12028,2920
wol,Latn,wol_Latn,Wolof,x,Ll,LATIN SMALL LETTER X,139376,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3675,3311,1640,4004,5371,9012,18405,18375,26945,14259,20913,13466
wol,Latn,wol_Latn,Wolof,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,98569,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3054,2936,1158,2738,2869,7204,10416,11313,16398,9466,18999,12018
wol,Latn,wol_Latn,Wolof,à,Ll,LATIN SMALL LETTER A WITH GRAVE,93199,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2695,2675,1034,2712,3025,5929,10269,11851,16874,9066,14842,12227
wol,Latn,wol_Latn,Wolof,ë,Ll,LATIN SMALL LETTER E WITH DIAERESIS,83371,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3018,2222,1242,2535,3198,5726,11038,10905,15175,7541,12589,8182
wol,Latn,wol_Latn,Wolof,A,Lu,LATIN CAPITAL LETTER A,73434,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1507,1599,1354,1040,5411,5283,13191,9776,12079,6929,9874,5391
wol,Latn,wol_Latn,Wolof,S,Lu,LATIN CAPITAL LETTER S,71576,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1417,1210,883,970,4124,4972,13232,10410,12197,6510,10475,5176
wol,Latn,wol_Latn,Wolof,M,Lu,LATIN CAPITAL LETTER M,59606,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1050,1109,723,750,3248,4335,10190,8908,10135,5860,9042,4256
wol,Latn,wol_Latn,Wolof,v,Ll,LATIN SMALL LETTER V,54147,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",785,823,360,527,6543,3167,10582,9190,8880,4353,4782,4155
wol,Latn,wol_Latn,Wolof,-,Pd,HYPHEN-MINUS,52813,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",725,1196,542,1219,2784,5475,8051,7115,8881,4938,7920,3967
wol,Latn,wol_Latn,Wolof,N,Lu,LATIN CAPITAL LETTER N,48464,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",739,1144,727,716,2862,3927,7993,6181,6969,4199,7998,5009
wol,Latn,wol_Latn,Wolof,B,Lu,LATIN CAPITAL LETTER B,44803,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",710,959,731,615,2215,3655,7191,6415,8201,4342,6372,3397
wol,Latn,wol_Latn,Wolof,D,Lu,LATIN CAPITAL LETTER D,42822,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",602,779,592,530,2644,3125,8154,6580,7681,3904,5721,2510
wol,Latn,wol_Latn,Wolof,1,Nd,DIGIT ONE,39565,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",441,1955,671,1607,2560,3995,6661,5002,7722,3624,3713,1614
wol,Latn,wol_Latn,Wolof,L,Lu,LATIN CAPITAL LETTER L,38038,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",707,723,530,522,2970,3043,6604,5145,5909,3579,5457,2849
wol,Latn,wol_Latn,Wolof,T,Lu,LATIN CAPITAL LETTER T,36735,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",594,756,553,604,2702,2645,6600,5713,5873,3539,4928,2228
wol,Latn,wol_Latn,Wolof,2,Nd,DIGIT TWO,36370,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",391,1153,429,957,2087,2433,7180,4229,6439,3310,5085,2677
wol,Latn,wol_Latn,Wolof,:,Po,COLON,35358,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",498,1917,605,1597,1894,4031,4959,4558,6592,3636,3992,1079
