iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
wsk,Latn,wsk_Latn,Waskia, ,Zs,SPACE,300931,6,"2018,2020,2021,2022,2023,2024",148669,7060,61003,11655,71162,1382
wsk,Latn,wsk_Latn,Waskia,a,Ll,LATIN SMALL LETTER A,226157,6,"2018,2020,2021,2022,2023,2024",108388,5353,46497,8837,55990,1092
wsk,Latn,wsk_Latn,Waskia,n,Ll,LATIN SMALL LETTER N,135689,6,"2018,2020,2021,2022,2023,2024",68449,3222,25722,5255,32388,653
wsk,Latn,wsk_Latn,Waskia,i,Ll,LATIN SMALL LETTER I,106169,6,"2018,2020,2021,2022,2023,2024",51255,2465,22707,4234,24945,563
wsk,Latn,wsk_Latn,Waskia,e,Ll,LATIN SMALL LETTER E,100593,6,"2018,2020,2021,2022,2023,2024",53068,2168,19023,3784,22199,351
wsk,Latn,wsk_Latn,Waskia,u,Ll,LATIN SMALL LETTER U,91180,6,"2018,2020,2021,2022,2023,2024",42218,2227,20606,3648,22014,467
wsk,Latn,wsk_Latn,Waskia,m,Ll,LATIN SMALL LETTER M,90540,6,"2018,2020,2021,2022,2023,2024",41653,2054,20142,3659,22637,395
wsk,Latn,wsk_Latn,Waskia,o,Ll,LATIN SMALL LETTER O,79639,6,"2018,2020,2021,2022,2023,2024",39619,1860,16488,2968,18329,375
wsk,Latn,wsk_Latn,Waskia,k,Ll,LATIN SMALL LETTER K,77919,6,"2018,2020,2021,2022,2023,2024",36238,1815,17503,3128,18818,417
wsk,Latn,wsk_Latn,Waskia,g,Ll,LATIN SMALL LETTER G,65908,6,"2018,2020,2021,2022,2023,2024",31347,1605,13931,2617,16077,331
wsk,Latn,wsk_Latn,Waskia,r,Ll,LATIN SMALL LETTER R,65114,6,"2018,2020,2021,2022,2023,2024",33559,1432,13107,2314,14410,292
wsk,Latn,wsk_Latn,Waskia,t,Ll,LATIN SMALL LETTER T,54644,6,"2018,2020,2021,2022,2023,2024",28408,1161,10607,2111,12132,225
wsk,Latn,wsk_Latn,Waskia,s,Ll,LATIN SMALL LETTER S,52949,6,"2018,2020,2021,2022,2023,2024",29019,1187,9576,1855,11084,228
wsk,Latn,wsk_Latn,Waskia,l,Ll,LATIN SMALL LETTER L,45540,6,"2018,2020,2021,2022,2023,2024",22156,1046,9537,1754,10830,217
wsk,Latn,wsk_Latn,Waskia,b,Ll,LATIN SMALL LETTER B,25162,6,"2018,2020,2021,2022,2023,2024",12737,493,5022,958,5836,116
wsk,Latn,wsk_Latn,Waskia,w,Ll,LATIN SMALL LETTER W,18738,6,"2018,2020,2021,2022,2023,2024",8770,449,4300,748,4387,84
wsk,Latn,wsk_Latn,Waskia,",",Po,COMMA,18603,6,"2018,2020,2021,2022,2023,2024",8772,402,3911,798,4644,76
wsk,Latn,wsk_Latn,Waskia,.,Po,FULL STOP,17097,6,"2018,2020,2021,2022,2023,2024",9008,415,3047,642,3913,72
