iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
xav,Latn,xav_Latn,Xavánte, ,Zs,SPACE,226240,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",2331,7336,119,1981,4508,15897,193600,338,130
xav,Latn,xav_Latn,Xavánte,a,Ll,LATIN SMALL LETTER A,161745,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",1659,5160,104,1258,2938,12097,138312,101,116
xav,Latn,xav_Latn,Xavánte,i,Ll,LATIN SMALL LETTER I,66681,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",672,2040,39,591,1622,5349,56245,58,65
xav,Latn,xav_Latn,Xavánte,r,Ll,LATIN SMALL LETTER R,65542,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",670,2012,43,439,1127,5530,55602,72,47
xav,Latn,xav_Latn,Xavánte,',Po,APOSTROPHE,58512,7,"2013,2017,2019,2020,2021,2022,2024",667,2243,0,432,110,1642,53414,0,4
xav,Latn,xav_Latn,Xavánte,e,Ll,LATIN SMALL LETTER E,54267,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",566,1800,26,466,1146,7391,42711,116,45
xav,Latn,xav_Latn,Xavánte,m,Ll,LATIN SMALL LETTER M,53217,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",534,1686,27,443,1051,4041,45368,40,27
xav,Latn,xav_Latn,Xavánte,o,Ll,LATIN SMALL LETTER O,50027,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",515,1589,26,323,975,6080,40389,95,35
xav,Latn,xav_Latn,Xavánte,n,Ll,LATIN SMALL LETTER N,47530,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",502,1720,29,329,839,3114,40919,41,37
xav,Latn,xav_Latn,Xavánte,t,Ll,LATIN SMALL LETTER T,42518,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",378,1114,26,420,948,4693,34847,49,43
xav,Latn,xav_Latn,Xavánte,h,Ll,LATIN SMALL LETTER H,41149,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",385,1254,14,414,1042,2052,35954,5,29
xav,Latn,xav_Latn,Xavánte,w,Ll,LATIN SMALL LETTER W,37144,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",388,1452,28,356,572,1522,32796,3,27
xav,Latn,xav_Latn,Xavánte,u,Ll,LATIN SMALL LETTER U,36155,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",317,968,26,359,887,3470,30058,42,28
xav,Latn,xav_Latn,Xavánte,s,Ll,LATIN SMALL LETTER S,33233,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",305,1021,18,295,803,4525,26158,74,34
xav,Latn,xav_Latn,Xavánte,z,Ll,LATIN SMALL LETTER Z,28041,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",270,909,18,160,391,1190,25082,6,15
xav,Latn,xav_Latn,Xavánte,ã,Ll,LATIN SMALL LETTER A WITH TILDE,26593,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",245,810,7,299,744,1440,23016,9,23
xav,Latn,xav_Latn,Xavánte,d,Ll,LATIN SMALL LETTER D,23156,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",214,466,37,184,567,4090,17521,28,49
xav,Latn,xav_Latn,Xavánte,ĩ,Ll,LATIN SMALL LETTER I WITH TILDE,22397,7,"2013,2017,2018,2019,2020,2021,2022",218,713,5,206,205,751,20299,0,0
xav,Latn,xav_Latn,Xavánte,",",Po,COMMA,20606,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",198,591,8,192,443,939,18215,11,9
xav,Latn,xav_Latn,Xavánte,é,Ll,LATIN SMALL LETTER E WITH ACUTE,17233,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",203,499,10,120,359,755,15263,8,16
xav,Latn,xav_Latn,Xavánte,â,Ll,LATIN SMALL LETTER A WITH CIRCUMFLEX,17048,8,"2013,2017,2019,2020,2021,2022,2023,2024",187,698,0,143,218,32,15768,1,1
xav,Latn,xav_Latn,Xavánte,b,Ll,LATIN SMALL LETTER B,14671,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",133,305,6,79,200,1202,12726,9,11
