iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
xmm,Latn,xmm_Latn,Manado Malay, ,Zs,SPACE,21711,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",575,3503,1158,1755,1687,2230,3102,3807,2166,1728
xmm,Latn,xmm_Latn,Manado Malay,a,Ll,LATIN SMALL LETTER A,19190,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",569,3168,1103,1692,1552,1837,2515,3056,2071,1627
xmm,Latn,xmm_Latn,Manado Malay,n,Ll,LATIN SMALL LETTER N,8818,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",253,1448,528,699,692,831,1105,1505,999,758
xmm,Latn,xmm_Latn,Manado Malay,i,Ll,LATIN SMALL LETTER I,6852,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",158,1089,348,579,614,663,879,1183,697,642
xmm,Latn,xmm_Latn,Manado Malay,t,Ll,LATIN SMALL LETTER T,5288,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",150,892,258,466,419,507,741,797,541,517
xmm,Latn,xmm_Latn,Manado Malay,e,Ll,LATIN SMALL LETTER E,5273,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",149,930,302,415,478,492,640,778,660,429
xmm,Latn,xmm_Latn,Manado Malay,g,Ll,LATIN SMALL LETTER G,5225,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",176,844,324,423,396,481,672,959,531,419
xmm,Latn,xmm_Latn,Manado Malay,u,Ll,LATIN SMALL LETTER U,4848,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",155,811,229,352,417,392,820,819,484,369
xmm,Latn,xmm_Latn,Manado Malay,r,Ll,LATIN SMALL LETTER R,4269,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",109,677,240,392,326,433,594,649,509,340
xmm,Latn,xmm_Latn,Manado Malay,o,Ll,LATIN SMALL LETTER O,4183,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",138,834,230,382,262,439,404,604,513,377
xmm,Latn,xmm_Latn,Manado Malay,s,Ll,LATIN SMALL LETTER S,4070,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",106,674,208,310,298,324,696,710,469,275
xmm,Latn,xmm_Latn,Manado Malay,k,Ll,LATIN SMALL LETTER K,4068,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",109,715,208,363,304,331,548,663,385,442
xmm,Latn,xmm_Latn,Manado Malay,d,Ll,LATIN SMALL LETTER D,3630,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",99,602,178,311,313,347,478,557,427,318
xmm,Latn,xmm_Latn,Manado Malay,m,Ll,LATIN SMALL LETTER M,3214,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",125,594,182,230,314,348,333,491,359,238
xmm,Latn,xmm_Latn,Manado Malay,p,Ll,LATIN SMALL LETTER P,3204,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",98,654,188,240,335,212,429,449,285,314
xmm,Latn,xmm_Latn,Manado Malay,l,Ll,LATIN SMALL LETTER L,3002,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",93,559,173,289,240,244,398,445,297,264
xmm,Latn,xmm_Latn,Manado Malay,b,Ll,LATIN SMALL LETTER B,2528,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",92,393,128,217,191,198,345,419,303,242
xmm,Latn,xmm_Latn,Manado Malay,h,Ll,LATIN SMALL LETTER H,1584,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",49,259,96,116,101,144,212,307,183,117
xmm,Latn,xmm_Latn,Manado Malay,y,Ll,LATIN SMALL LETTER Y,1486,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",34,170,78,76,138,123,240,270,186,171
xmm,Latn,xmm_Latn,Manado Malay,.,Po,FULL STOP,1362,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",42,281,109,154,107,140,115,182,140,92
xmm,Latn,xmm_Latn,Manado Malay,",",Po,COMMA,1139,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",34,252,17,85,31,77,175,132,172,164
xmm,Latn,xmm_Latn,Manado Malay,j,Ll,LATIN SMALL LETTER J,934,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",33,148,32,87,45,183,141,116,79,70
xmm,Latn,xmm_Latn,Manado Malay,c,Ll,LATIN SMALL LETTER C,785,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",16,154,40,67,41,62,125,156,82,42
xmm,Latn,xmm_Latn,Manado Malay,D,Lu,LATIN CAPITAL LETTER D,576,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0,12,48,14,85,146,84,115,69,3
xmm,Latn,xmm_Latn,Manado Malay,A,Lu,LATIN CAPITAL LETTER A,478,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",1,36,34,12,69,144,81,47,49,5
xmm,Latn,xmm_Latn,Manado Malay,G,Lu,LATIN CAPITAL LETTER G,449,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0,21,20,7,76,155,53,86,29,2
xmm,Latn,xmm_Latn,Manado Malay,w,Ll,LATIN SMALL LETTER W,394,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",13,143,7,27,22,19,48,57,35,23
xmm,Latn,xmm_Latn,Manado Malay,K,Lu,LATIN CAPITAL LETTER K,386,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",3,60,21,37,37,49,45,66,62,6
xmm,Latn,xmm_Latn,Manado Malay,M,Lu,LATIN CAPITAL LETTER M,384,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",5,40,13,39,29,152,25,26,48,7
xmm,Latn,xmm_Latn,Manado Malay,-,Pd,HYPHEN-MINUS,314,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",19,41,21,44,19,27,45,50,37,11
xmm,Latn,xmm_Latn,Manado Malay,T,Lu,LATIN CAPITAL LETTER T,291,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",8,50,11,16,25,22,43,63,49,4
xmm,Latn,xmm_Latn,Manado Malay,S,Lu,LATIN CAPITAL LETTER S,275,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",6,33,13,27,20,55,25,38,54,4
xmm,Latn,xmm_Latn,Manado Malay,C,Lu,LATIN CAPITAL LETTER C,218,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",1,12,10,7,23,73,29,60,2,1
xmm,Latn,xmm_Latn,Manado Malay,P,Lu,LATIN CAPITAL LETTER P,217,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",1,28,16,15,11,41,22,12,28,43
xmm,Latn,xmm_Latn,Manado Malay,B,Lu,LATIN CAPITAL LETTER B,200,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",6,19,8,14,27,47,32,26,13,8
xmm,Latn,xmm_Latn,Manado Malay,f,Ll,LATIN SMALL LETTER F,185,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",4,46,13,13,18,10,13,37,21,10
xmm,Latn,xmm_Latn,Manado Malay,2,Nd,DIGIT TWO,170,9,"2013,2016,2017,2019,2020,2021,2022,2023,2024",10,65,3,0,2,9,37,23,15,6
xmm,Latn,xmm_Latn,Manado Malay,I,Lu,LATIN CAPITAL LETTER I,164,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",1,51,4,8,25,28,15,11,17,4
xmm,Latn,xmm_Latn,Manado Malay,:,Po,COLON,137,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",3,12,2,4,16,18,1,13,5,63
xmm,Latn,xmm_Latn,Manado Malay,N,Lu,LATIN CAPITAL LETTER N,130,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",1,19,10,8,9,24,16,18,20,5
xmm,Latn,xmm_Latn,Manado Malay,E,Lu,LATIN CAPITAL LETTER E,124,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0,15,11,2,4,22,12,15,12,31
xmm,Latn,xmm_Latn,Manado Malay,1,Nd,DIGIT ONE,100,9,"2013,2016,2017,2019,2020,2021,2022,2023,2024",6,9,1,0,2,6,33,37,5,1
xmm,Latn,xmm_Latn,Manado Malay,O,Lu,LATIN CAPITAL LETTER O,94,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0,20,5,6,4,13,17,5,21,3
xmm,Latn,xmm_Latn,Manado Malay,R,Lu,LATIN CAPITAL LETTER R,89,8,"2016,2017,2019,2020,2021,2022,2023,2024",0,31,5,0,5,10,16,10,6,6
xmm,Latn,xmm_Latn,Manado Malay,L,Lu,LATIN CAPITAL LETTER L,88,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",0,11,8,9,1,19,11,14,10,5
xmm,Latn,xmm_Latn,Manado Malay,),Pe,RIGHT PARENTHESIS,78,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",1,22,1,1,18,14,6,5,10,0
xmm,Latn,xmm_Latn,Manado Malay,?,Po,QUESTION MARK,70,8,"2013,2016,2018,2019,2021,2022,2023,2024",1,21,0,8,5,0,2,3,5,25
xmm,Latn,xmm_Latn,Manado Malay,J,Lu,LATIN CAPITAL LETTER J,70,10,"2013,2016,2017,2018,2019,2020,2021,2022,2023,2024",1,21,8,4,5,10,2,4,10,5
