iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
xmv,Latn,xmv_Latn,Antankarana Malagasy, ,Zs,SPACE,163034,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",94,1381,6433,8476,122941,15145,7299,515,750
xmv,Latn,xmv_Latn,Antankarana Malagasy,A,Lu,LATIN CAPITAL LETTER A,100568,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",11,84,1604,289,97406,608,294,38,234
xmv,Latn,xmv_Latn,Antankarana Malagasy,a,Ll,LATIN SMALL LETTER A,72987,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",92,1514,6367,9768,33948,13684,6440,543,631
xmv,Latn,xmv_Latn,Antankarana Malagasy,N,Lu,LATIN CAPITAL LETTER N,55304,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",4,42,1022,171,53422,341,169,11,122
xmv,Latn,xmv_Latn,Antankarana Malagasy,I,Lu,LATIN CAPITAL LETTER I,44009,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",1,28,629,92,42898,164,91,12,94
xmv,Latn,xmv_Latn,Antankarana Malagasy,O,Lu,LATIN CAPITAL LETTER O,41628,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",10,1,444,99,40711,149,86,8,120
xmv,Latn,xmv_Latn,Antankarana Malagasy,t,Ll,LATIN SMALL LETTER T,39198,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",20,270,1354,2299,29506,3766,1689,116,178
xmv,Latn,xmv_Latn,Antankarana Malagasy,n,Ll,LATIN SMALL LETTER N,35143,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",30,591,2898,3967,17823,6396,2935,184,319
xmv,Latn,xmv_Latn,Antankarana Malagasy,i,Ll,LATIN SMALL LETTER I,32512,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",26,601,2264,3605,16707,6034,2846,181,248
xmv,Latn,xmv_Latn,Antankarana Malagasy,R,Lu,LATIN CAPITAL LETTER R,31976,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",1,5,460,68,31204,126,52,9,51
xmv,Latn,xmv_Latn,Antankarana Malagasy,o,Ll,LATIN SMALL LETTER O,28879,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",56,344,1982,3718,11932,6952,3457,201,237
xmv,Latn,xmv_Latn,Antankarana Malagasy,Y,Lu,LATIN CAPITAL LETTER Y,26686,8,"2013,2018,2019,2020,2021,2022,2023,2024",1,0,485,22,26077,28,13,2,58
xmv,Latn,xmv_Latn,Antankarana Malagasy,T,Lu,LATIN CAPITAL LETTER T,25831,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,26,454,279,24176,569,248,23,56
xmv,Latn,xmv_Latn,Antankarana Malagasy,s,Ll,LATIN SMALL LETTER S,24447,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",13,168,765,1866,16722,3274,1388,96,155
xmv,Latn,xmv_Latn,Antankarana Malagasy,r,Ll,LATIN SMALL LETTER R,23099,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",13,317,1406,2091,14202,3280,1442,151,197
xmv,Latn,xmv_Latn,Antankarana Malagasy,e,Ll,LATIN SMALL LETTER E,22492,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",17,212,949,1578,13572,4059,1784,74,247
xmv,Latn,xmv_Latn,Antankarana Malagasy,"""",Po,QUOTATION MARK,22059,4,"2018,2020,2021,2022",0,0,16,0,22038,4,1,0,0
xmv,Latn,xmv_Latn,Antankarana Malagasy,D,Lu,LATIN CAPITAL LETTER D,19962,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,42,199,93,19201,263,132,17,15
xmv,Latn,xmv_Latn,Antankarana Malagasy,y,Ll,LATIN SMALL LETTER Y,18998,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",22,201,1886,2756,8486,3552,1787,132,176
xmv,Latn,xmv_Latn,Antankarana Malagasy,l,Ll,LATIN SMALL LETTER L,16889,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",12,145,583,1133,11372,2353,1114,70,107
xmv,Latn,xmv_Latn,Antankarana Malagasy,M,Lu,LATIN CAPITAL LETTER M,15962,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,20,374,247,14569,449,227,13,63
xmv,Latn,xmv_Latn,Antankarana Malagasy,.,Po,FULL STOP,15481,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",1,54,490,616,12783,998,466,20,53
