iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2024_frequency
xnn,Latn,xnn_Latn,Northern Kankanay,a,Ll,LATIN SMALL LETTER A,58833,7,"2017,2018,2019,2020,2021,2022,2024",353,653,1585,1623,26362,10158,18099
xnn,Latn,xnn_Latn,Northern Kankanay, ,Zs,SPACE,54253,7,"2017,2018,2019,2020,2021,2022,2024",294,689,1602,1578,23978,9524,16588
xnn,Latn,xnn_Latn,Northern Kankanay,n,Ll,LATIN SMALL LETTER N,37353,7,"2017,2018,2019,2020,2021,2022,2024",210,377,1076,1150,16553,6210,11777
xnn,Latn,xnn_Latn,Northern Kankanay,i,Ll,LATIN SMALL LETTER I,22564,7,"2017,2018,2019,2020,2021,2022,2024",71,193,721,667,10035,3845,7032
xnn,Latn,xnn_Latn,Northern Kankanay,o,Ll,LATIN SMALL LETTER O,16195,7,"2017,2018,2019,2020,2021,2022,2024",18,120,383,380,7027,3005,5262
xnn,Latn,xnn_Latn,Northern Kankanay,e,Ll,LATIN SMALL LETTER E,13993,7,"2017,2018,2019,2020,2021,2022,2024",69,266,461,500,5966,2473,4258
xnn,Latn,xnn_Latn,Northern Kankanay,s,Ll,LATIN SMALL LETTER S,13346,7,"2017,2018,2019,2020,2021,2022,2024",53,195,412,414,6030,2208,4034
xnn,Latn,xnn_Latn,Northern Kankanay,y,Ll,LATIN SMALL LETTER Y,12728,7,"2017,2018,2019,2020,2021,2022,2024",59,117,293,312,5560,2428,3959
xnn,Latn,xnn_Latn,Northern Kankanay,t,Ll,LATIN SMALL LETTER T,11928,7,"2017,2018,2019,2020,2021,2022,2024",56,195,401,334,5018,2069,3855
xnn,Latn,xnn_Latn,Northern Kankanay,k,Ll,LATIN SMALL LETTER K,11615,7,"2017,2018,2019,2020,2021,2022,2024",39,147,189,274,4973,2287,3706
xnn,Latn,xnn_Latn,Northern Kankanay,g,Ll,LATIN SMALL LETTER G,10511,7,"2017,2018,2019,2020,2021,2022,2024",46,101,328,268,4611,1850,3307
xnn,Latn,xnn_Latn,Northern Kankanay,d,Ll,LATIN SMALL LETTER D,9551,7,"2017,2018,2019,2020,2021,2022,2024",74,134,386,296,4060,1663,2938
xnn,Latn,xnn_Latn,Northern Kankanay,m,Ll,LATIN SMALL LETTER M,9443,7,"2017,2018,2019,2020,2021,2022,2024",52,116,201,202,4329,1810,2733
xnn,Latn,xnn_Latn,Northern Kankanay,p,Ll,LATIN SMALL LETTER P,7053,7,"2017,2018,2019,2020,2021,2022,2024",13,44,220,184,3089,1187,2316
xnn,Latn,xnn_Latn,Northern Kankanay,l,Ll,LATIN SMALL LETTER L,6568,7,"2017,2018,2019,2020,2021,2022,2024",30,133,259,203,2947,1033,1963
xnn,Latn,xnn_Latn,Northern Kankanay,w,Ll,LATIN SMALL LETTER W,4047,7,"2017,2018,2019,2020,2021,2022,2024",24,49,73,135,1763,717,1286
xnn,Latn,xnn_Latn,Northern Kankanay,b,Ll,LATIN SMALL LETTER B,3990,7,"2017,2018,2019,2020,2021,2022,2024",12,65,100,105,1813,689,1206
