iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2022_frequency,year_2023_frequency
xsm,Latn,xsm_Latn,Kasem, ,Zs,SPACE,644257,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",250330,4635,251979,21332,33623,63009,6046,13054,249
xsm,Latn,xsm_Latn,Kasem,a,Ll,LATIN SMALL LETTER A,325070,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",129252,2290,125529,10027,16871,31693,3154,6122,132
xsm,Latn,xsm_Latn,Kasem,ɩ,Ll,LATIN SMALL LETTER IOTA,229019,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",89824,1116,90757,8376,12212,20395,1322,4913,104
xsm,Latn,xsm_Latn,Kasem,n,Ll,LATIN SMALL LETTER N,186187,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",72396,1158,73011,6452,10002,17657,1569,3849,93
xsm,Latn,xsm_Latn,Kasem,ʋ,Ll,LATIN SMALL LETTER V WITH HOOK,125505,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",49339,632,50130,4689,6424,10986,682,2584,39
xsm,Latn,xsm_Latn,Kasem,m,Ll,LATIN SMALL LETTER M,99859,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",38812,792,39528,3177,5038,9430,1066,1986,30
xsm,Latn,xsm_Latn,Kasem,t,Ll,LATIN SMALL LETTER T,86782,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",33760,607,34055,3029,4907,7750,633,2000,41
xsm,Latn,xsm_Latn,Kasem,i,Ll,LATIN SMALL LETTER I,72630,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",27501,614,28156,2073,4409,7587,702,1549,39
xsm,Latn,xsm_Latn,Kasem,b,Ll,LATIN SMALL LETTER B,71805,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",27691,479,28009,2260,4036,7396,716,1198,20
xsm,Latn,xsm_Latn,Kasem,d,Ll,LATIN SMALL LETTER D,63655,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",24855,521,24839,2319,3403,5707,701,1273,37
xsm,Latn,xsm_Latn,Kasem,w,Ll,LATIN SMALL LETTER W,62176,9,"2013,2014,2016,2017,2018,2019,2020,2022,2023",24314,440,24545,2162,3050,5730,610,1288,37
