iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2019_frequency,year_2020_frequency,year_2023_frequency
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec, ,Zs,SPACE,37449,4,"2017,2019,2020,2023",820,22821,13126,682
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,a,Ll,LATIN SMALL LETTER A,25269,4,"2017,2019,2020,2023",500,15583,8652,534
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,i,Ll,LATIN SMALL LETTER I,15359,4,"2017,2019,2020,2023",263,9309,5465,322
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,n,Ll,LATIN SMALL LETTER N,14708,4,"2017,2019,2020,2023",201,8906,5318,283
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,u,Ll,LATIN SMALL LETTER U,11682,4,"2017,2019,2020,2023",239,7261,4001,181
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,k,Ll,LATIN SMALL LETTER K,8262,4,"2017,2019,2020,2023",142,4960,2991,169
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,',Po,APOSTROPHE,5930,4,"2017,2019,2020,2023",69,3756,2054,51
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,e,Ll,LATIN SMALL LETTER E,5018,4,"2017,2019,2020,2023",157,2997,1772,92
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,s,Ll,LATIN SMALL LETTER S,4907,4,"2017,2019,2020,2023",101,3089,1602,115
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,j,Ll,LATIN SMALL LETTER J,4804,4,"2017,2019,2020,2023",44,2997,1699,64
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,t,Ll,LATIN SMALL LETTER T,4713,4,"2017,2019,2020,2023",104,2924,1625,60
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,o,Ll,LATIN SMALL LETTER O,4223,4,"2017,2019,2020,2023",99,2569,1442,113
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,m,Ll,LATIN SMALL LETTER M,3931,4,"2017,2019,2020,2023",181,2371,1321,58
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,d,Ll,LATIN SMALL LETTER D,3394,4,"2017,2019,2020,2023",58,2027,1254,55
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,y,Ll,LATIN SMALL LETTER Y,2846,4,"2017,2019,2020,2023",94,1792,902,58
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,",",Po,COMMA,2221,4,"2017,2019,2020,2023",63,1383,759,16
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,v,Ll,LATIN SMALL LETTER V,2141,4,"2017,2019,2020,2023",51,1372,679,39
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,2115,4,"2017,2019,2020,2023",36,1249,772,58
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,.,Po,FULL STOP,1109,4,"2017,2019,2020,2023",33,666,395,15
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,‐,Pd,HYPHEN,961,3,"2017,2019,2020",8,640,313,0
xtm,Latn,xtm_Latn,Magdalena Peñasco Mixtec,c,Ll,LATIN SMALL LETTER C,938,4,"2017,2019,2020,2023",35,580,280,43
