iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2021_frequency,year_2022_frequency
yaz,Latn,yaz_Latn,Lokaa, ,Zs,SPACE,2076,3,"2019,2021,2022",565,788,723
yaz,Latn,yaz_Latn,Lokaa,a,Ll,LATIN SMALL LETTER A,1193,3,"2019,2021,2022",357,435,401
yaz,Latn,yaz_Latn,Lokaa,ạ,Ll,LATIN SMALL LETTER A WITH DOT BELOW,849,3,"2019,2021,2022",221,339,289
yaz,Latn,yaz_Latn,Lokaa,o,Ll,LATIN SMALL LETTER O,760,3,"2019,2021,2022",256,328,176
yaz,Latn,yaz_Latn,Lokaa,n,Ll,LATIN SMALL LETTER N,633,3,"2019,2021,2022",182,269,182
yaz,Latn,yaz_Latn,Lokaa,ẹ,Ll,LATIN SMALL LETTER E WITH DOT BELOW,586,3,"2019,2021,2022",133,220,233
yaz,Latn,yaz_Latn,Lokaa,m,Ll,LATIN SMALL LETTER M,466,3,"2019,2021,2022",165,186,115
yaz,Latn,yaz_Latn,Lokaa,i,Ll,LATIN SMALL LETTER I,440,3,"2019,2021,2022",100,181,159
yaz,Latn,yaz_Latn,Lokaa,k,Ll,LATIN SMALL LETTER K,415,3,"2019,2021,2022",97,170,148
yaz,Latn,yaz_Latn,Lokaa,y,Ll,LATIN SMALL LETTER Y,402,3,"2019,2021,2022",83,172,147
yaz,Latn,yaz_Latn,Lokaa,ọ,Ll,LATIN SMALL LETTER O WITH DOT BELOW,351,3,"2019,2021,2022",82,118,151
yaz,Latn,yaz_Latn,Lokaa,b,Ll,LATIN SMALL LETTER B,334,3,"2019,2021,2022",81,127,126
yaz,Latn,yaz_Latn,Lokaa,e,Ll,LATIN SMALL LETTER E,282,3,"2019,2021,2022",77,117,88
yaz,Latn,yaz_Latn,Lokaa,d,Ll,LATIN SMALL LETTER D,269,3,"2019,2021,2022",66,89,114
yaz,Latn,yaz_Latn,Lokaa,l,Ll,LATIN SMALL LETTER L,202,3,"2019,2021,2022",48,74,80
yaz,Latn,yaz_Latn,Lokaa,w,Ll,LATIN SMALL LETTER W,200,3,"2019,2021,2022",53,85,62
yaz,Latn,yaz_Latn,Lokaa,s,Ll,LATIN SMALL LETTER S,195,3,"2019,2021,2022",52,92,51
yaz,Latn,yaz_Latn,Lokaa,u,Ll,LATIN SMALL LETTER U,187,3,"2019,2021,2022",34,64,89
yaz,Latn,yaz_Latn,Lokaa,t,Ll,LATIN SMALL LETTER T,173,3,"2019,2021,2022",36,75,62
yaz,Latn,yaz_Latn,Lokaa,p,Ll,LATIN SMALL LETTER P,170,3,"2019,2021,2022",49,75,46
yaz,Latn,yaz_Latn,Lokaa,A,Lu,LATIN CAPITAL LETTER A,134,3,"2019,2021,2022",15,87,32
yaz,Latn,yaz_Latn,Lokaa,.,Po,FULL STOP,104,3,"2019,2021,2022",28,40,36
yaz,Latn,yaz_Latn,Lokaa,J,Lu,LATIN CAPITAL LETTER J,100,3,"2019,2021,2022",31,46,23
yaz,Latn,yaz_Latn,Lokaa,",",Po,COMMA,98,3,"2019,2021,2022",17,28,53
yaz,Latn,yaz_Latn,Lokaa,g,Ll,LATIN SMALL LETTER G,93,3,"2019,2021,2022",20,39,34
yaz,Latn,yaz_Latn,Lokaa,r,Ll,LATIN SMALL LETTER R,78,3,"2019,2021,2022",25,31,22
yaz,Latn,yaz_Latn,Lokaa,j,Ll,LATIN SMALL LETTER J,64,3,"2019,2021,2022",14,22,28
yaz,Latn,yaz_Latn,Lokaa,f,Ll,LATIN SMALL LETTER F,55,3,"2019,2021,2022",14,20,21
yaz,Latn,yaz_Latn,Lokaa,;,Po,SEMICOLON,52,2,"2019,2021",26,26,0
yaz,Latn,yaz_Latn,Lokaa,1,Nd,DIGIT ONE,46,3,"2019,2021,2022",14,19,13
yaz,Latn,yaz_Latn,Lokaa,z,Ll,LATIN SMALL LETTER Z,44,3,"2019,2021,2022",19,19,6
yaz,Latn,yaz_Latn,Lokaa,M,Lu,LATIN CAPITAL LETTER M,43,3,"2019,2021,2022",15,24,4
yaz,Latn,yaz_Latn,Lokaa,Ọ,Lu,LATIN CAPITAL LETTER O WITH DOT BELOW,39,3,"2019,2021,2022",7,14,18
yaz,Latn,yaz_Latn,Lokaa,Ẹ,Lu,LATIN CAPITAL LETTER E WITH DOT BELOW,35,3,"2019,2021,2022",11,11,13
yaz,Latn,yaz_Latn,Lokaa,2,Nd,DIGIT TWO,31,3,"2019,2021,2022",9,14,8
yaz,Latn,yaz_Latn,Lokaa,K,Lu,LATIN CAPITAL LETTER K,31,3,"2019,2021,2022",7,13,11
yaz,Latn,yaz_Latn,Lokaa,B,Lu,LATIN CAPITAL LETTER B,20,3,"2019,2021,2022",6,6,8
yaz,Latn,yaz_Latn,Lokaa,N,Lu,LATIN CAPITAL LETTER N,17,3,"2019,2021,2022",3,6,8
yaz,Latn,yaz_Latn,Lokaa,I,Lu,LATIN CAPITAL LETTER I,17,3,"2019,2021,2022",4,4,9
