iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2020_frequency,year_2022_frequency
yrb,Latn,yrb_Latn,Yareba, ,Zs,SPACE,234957,3,"2018,2020,2022",131701,102900,356
yrb,Latn,yrb_Latn,Yareba,a,Ll,LATIN SMALL LETTER A,209872,3,"2018,2020,2022",121444,88031,397
yrb,Latn,yrb_Latn,Yareba,e,Ll,LATIN SMALL LETTER E,119033,3,"2018,2020,2022",65215,53592,226
yrb,Latn,yrb_Latn,Yareba,i,Ll,LATIN SMALL LETTER I,115046,3,"2018,2020,2022",65443,49440,163
yrb,Latn,yrb_Latn,Yareba,u,Ll,LATIN SMALL LETTER U,84554,3,"2018,2020,2022",49584,34800,170
yrb,Latn,yrb_Latn,Yareba,o,Ll,LATIN SMALL LETTER O,78694,3,"2018,2020,2022",42147,36442,105
yrb,Latn,yrb_Latn,Yareba,r,Ll,LATIN SMALL LETTER R,78660,3,"2018,2020,2022",41938,36614,108
yrb,Latn,yrb_Latn,Yareba,n,Ll,LATIN SMALL LETTER N,78033,3,"2018,2020,2022",44230,33678,125
yrb,Latn,yrb_Latn,Yareba,t,Ll,LATIN SMALL LETTER T,61688,3,"2018,2020,2022",33509,28046,133
yrb,Latn,yrb_Latn,Yareba,s,Ll,LATIN SMALL LETTER S,47202,3,"2018,2020,2022",25796,21358,48
yrb,Latn,yrb_Latn,Yareba,m,Ll,LATIN SMALL LETTER M,45081,3,"2018,2020,2022",24631,20389,61
yrb,Latn,yrb_Latn,Yareba,w,Ll,LATIN SMALL LETTER W,42931,3,"2018,2020,2022",24534,18320,77
yrb,Latn,yrb_Latn,Yareba,b,Ll,LATIN SMALL LETTER B,37090,3,"2018,2020,2022",21322,15703,65
yrb,Latn,yrb_Latn,Yareba,d,Ll,LATIN SMALL LETTER D,29479,3,"2018,2020,2022",15828,13608,43
yrb,Latn,yrb_Latn,Yareba,f,Ll,LATIN SMALL LETTER F,17162,3,"2018,2020,2022",9758,7358,46
yrb,Latn,yrb_Latn,Yareba,.,Po,FULL STOP,14982,3,"2018,2020,2022",8715,6245,22
yrb,Latn,yrb_Latn,Yareba,h,Ll,LATIN SMALL LETTER H,13163,2,"2018,2020",5550,7613,0
yrb,Latn,yrb_Latn,Yareba,k,Ll,LATIN SMALL LETTER K,12654,3,"2018,2020,2022",6785,5834,35
yrb,Latn,yrb_Latn,Yareba,y,Ll,LATIN SMALL LETTER Y,11871,3,"2018,2020,2022",7008,4845,18
yrb,Latn,yrb_Latn,Yareba,g,Ll,LATIN SMALL LETTER G,10495,3,"2018,2020,2022",4425,6060,10
yrb,Latn,yrb_Latn,Yareba,l,Ll,LATIN SMALL LETTER L,9971,2,"2018,2020",3199,6772,0
yrb,Latn,yrb_Latn,Yareba,",",Po,COMMA,7719,3,"2018,2020,2022",3932,3783,4
yrb,Latn,yrb_Latn,Yareba,c,Ll,LATIN SMALL LETTER C,6673,2,"2018,2020",2476,4197,0
yrb,Latn,yrb_Latn,Yareba,G,Lu,LATIN CAPITAL LETTER G,6306,3,"2018,2020,2022",3439,2856,11
