iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
zao,Latn,zao_Latn,Ozolotepec Zapotec, ,Zs,SPACE,64317,8,"2013,2014,2019,2020,2021,2022,2023,2024",9034,703,18056,3671,5182,11176,16071,424
zao,Latn,zao_Latn,Ozolotepec Zapotec,a,Ll,LATIN SMALL LETTER A,34213,8,"2013,2014,2019,2020,2021,2022,2023,2024",4777,320,10047,1880,2711,5514,8750,214
zao,Latn,zao_Latn,Ozolotepec Zapotec,e,Ll,LATIN SMALL LETTER E,27735,8,"2013,2014,2019,2020,2021,2022,2023,2024",3281,399,8180,1550,2150,5002,6941,232
zao,Latn,zao_Latn,Ozolotepec Zapotec,n,Ll,LATIN SMALL LETTER N,22262,8,"2013,2014,2019,2020,2021,2022,2023,2024",3434,218,6276,1231,1639,3530,5777,157
zao,Latn,zao_Latn,Ozolotepec Zapotec,o,Ll,LATIN SMALL LETTER O,20263,8,"2013,2014,2019,2020,2021,2022,2023,2024",2359,177,5576,1211,1575,3416,5750,199
zao,Latn,zao_Latn,Ozolotepec Zapotec,t,Ll,LATIN SMALL LETTER T,15834,8,"2013,2014,2019,2020,2021,2022,2023,2024",1974,170,4426,795,1214,2742,4390,123
zao,Latn,zao_Latn,Ozolotepec Zapotec,l,Ll,LATIN SMALL LETTER L,12150,8,"2013,2014,2019,2020,2021,2022,2023,2024",1445,140,3676,695,951,2018,3144,81
zao,Latn,zao_Latn,Ozolotepec Zapotec,i,Ll,LATIN SMALL LETTER I,10839,8,"2013,2014,2019,2020,2021,2022,2023,2024",1847,66,3199,581,804,1683,2580,79
zao,Latn,zao_Latn,Ozolotepec Zapotec,k,Ll,LATIN SMALL LETTER K,10825,8,"2013,2014,2019,2020,2021,2022,2023,2024",1594,76,3068,612,828,1626,2966,55
zao,Latn,zao_Latn,Ozolotepec Zapotec,u,Ll,LATIN SMALL LETTER U,9885,8,"2013,2014,2019,2020,2021,2022,2023,2024",1561,95,2805,541,823,1511,2530,19
zao,Latn,zao_Latn,Ozolotepec Zapotec,z,Ll,LATIN SMALL LETTER Z,9076,8,"2013,2014,2019,2020,2021,2022,2023,2024",916,121,2688,520,797,1774,2220,40
zao,Latn,zao_Latn,Ozolotepec Zapotec,h,Ll,LATIN SMALL LETTER H,8719,8,"2013,2014,2019,2020,2021,2022,2023,2024",962,121,2471,446,780,1742,2165,32
zao,Latn,zao_Latn,Ozolotepec Zapotec,s,Ll,LATIN SMALL LETTER S,8490,8,"2013,2014,2019,2020,2021,2022,2023,2024",1229,73,2505,386,602,1601,2035,59
zao,Latn,zao_Latn,Ozolotepec Zapotec,r,Ll,LATIN SMALL LETTER R,7648,8,"2013,2014,2019,2020,2021,2022,2023,2024",1102,141,2264,432,617,1252,1808,32
zao,Latn,zao_Latn,Ozolotepec Zapotec,b,Ll,LATIN SMALL LETTER B,6598,8,"2013,2014,2019,2020,2021,2022,2023,2024",1055,96,1621,376,492,1216,1705,37
zao,Latn,zao_Latn,Ozolotepec Zapotec,g,Ll,LATIN SMALL LETTER G,5635,8,"2013,2014,2019,2020,2021,2022,2023,2024",772,53,1321,328,472,1098,1524,67
zao,Latn,zao_Latn,Ozolotepec Zapotec,y,Ll,LATIN SMALL LETTER Y,4870,8,"2013,2014,2019,2020,2021,2022,2023,2024",692,71,1367,284,344,805,1276,31
zao,Latn,zao_Latn,Ozolotepec Zapotec,d,Ll,LATIN SMALL LETTER D,4664,8,"2013,2014,2019,2020,2021,2022,2023,2024",758,60,1238,303,350,746,1189,20
zao,Latn,zao_Latn,Ozolotepec Zapotec,",",Po,COMMA,4580,8,"2013,2014,2019,2020,2021,2022,2023,2024",571,60,1322,241,336,782,1236,32
zao,Latn,zao_Latn,Ozolotepec Zapotec,m,Ll,LATIN SMALL LETTER M,4495,8,"2013,2014,2019,2020,2021,2022,2023,2024",774,93,1244,274,397,886,804,23
zao,Latn,zao_Latn,Ozolotepec Zapotec,w,Ll,LATIN SMALL LETTER W,4287,8,"2013,2014,2019,2020,2021,2022,2023,2024",375,32,1288,268,376,770,1152,26
zao,Latn,zao_Latn,Ozolotepec Zapotec,x,Ll,LATIN SMALL LETTER X,4044,8,"2013,2014,2019,2020,2021,2022,2023,2024",695,18,1282,224,284,430,1083,28
zao,Latn,zao_Latn,Ozolotepec Zapotec,.,Po,FULL STOP,2570,8,"2013,2014,2019,2020,2021,2022,2023,2024",401,20,721,140,179,428,667,14
zao,Latn,zao_Latn,Ozolotepec Zapotec,D,Lu,LATIN CAPITAL LETTER D,2034,8,"2013,2014,2019,2020,2021,2022,2023,2024",262,6,788,122,135,154,554,13
zao,Latn,zao_Latn,Ozolotepec Zapotec,c,Ll,LATIN SMALL LETTER C,1819,8,"2013,2014,2019,2020,2021,2022,2023,2024",323,18,633,72,100,202,466,5
zao,Latn,zao_Latn,Ozolotepec Zapotec,p,Ll,LATIN SMALL LETTER P,1700,8,"2013,2014,2019,2020,2021,2022,2023,2024",329,27,442,80,139,271,407,5
zao,Latn,zao_Latn,Ozolotepec Zapotec,ʼ,Lm,MODIFIER LETTER APOSTROPHE,1620,8,"2013,2014,2019,2020,2021,2022,2023,2024",153,2,603,65,106,223,458,10
zao,Latn,zao_Latn,Ozolotepec Zapotec,J,Lu,LATIN CAPITAL LETTER J,1456,8,"2013,2014,2019,2020,2021,2022,2023,2024",180,10,552,25,103,316,262,8
zao,Latn,zao_Latn,Ozolotepec Zapotec,N,Lu,LATIN CAPITAL LETTER N,1404,8,"2013,2014,2019,2020,2021,2022,2023,2024",123,10,470,62,134,231,364,10
zao,Latn,zao_Latn,Ozolotepec Zapotec,1,Nd,DIGIT ONE,1124,8,"2013,2014,2019,2020,2021,2022,2023,2024",136,13,333,58,84,206,288,6
zao,Latn,zao_Latn,Ozolotepec Zapotec,2,Nd,DIGIT TWO,769,8,"2013,2014,2019,2020,2021,2022,2023,2024",105,8,198,45,65,153,193,2
zao,Latn,zao_Latn,Ozolotepec Zapotec,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,699,8,"2013,2014,2019,2020,2021,2022,2023,2024",66,2,210,4,73,269,69,6
zao,Latn,zao_Latn,Ozolotepec Zapotec,T,Lu,LATIN CAPITAL LETTER T,628,8,"2013,2014,2019,2020,2021,2022,2023,2024",86,10,195,31,46,145,104,11
zao,Latn,zao_Latn,Ozolotepec Zapotec,P,Lu,LATIN CAPITAL LETTER P,498,8,"2013,2014,2019,2020,2021,2022,2023,2024",101,4,128,62,31,64,105,3
zao,Latn,zao_Latn,Ozolotepec Zapotec,:,Po,COLON,489,7,"2013,2014,2019,2020,2021,2022,2023",45,9,137,18,42,166,72,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,3,Nd,DIGIT THREE,443,8,"2013,2014,2019,2020,2021,2022,2023,2024",43,3,111,13,28,122,120,3
zao,Latn,zao_Latn,Ozolotepec Zapotec,M,Lu,LATIN CAPITAL LETTER M,419,8,"2013,2014,2019,2020,2021,2022,2023,2024",60,3,116,17,56,89,76,2
zao,Latn,zao_Latn,Ozolotepec Zapotec,4,Nd,DIGIT FOUR,361,8,"2013,2014,2019,2020,2021,2022,2023,2024",29,2,107,12,28,95,87,1
zao,Latn,zao_Latn,Ozolotepec Zapotec,L,Lu,LATIN CAPITAL LETTER L,357,8,"2013,2014,2019,2020,2021,2022,2023,2024",31,3,111,20,29,68,94,1
zao,Latn,zao_Latn,Ozolotepec Zapotec,Z,Lu,LATIN CAPITAL LETTER Z,327,8,"2013,2014,2019,2020,2021,2022,2023,2024",24,3,126,9,34,46,80,5
zao,Latn,zao_Latn,Ozolotepec Zapotec,K,Lu,LATIN CAPITAL LETTER K,318,8,"2013,2014,2019,2020,2021,2022,2023,2024",48,1,80,12,26,56,91,4
zao,Latn,zao_Latn,Ozolotepec Zapotec,f,Ll,LATIN SMALL LETTER F,296,7,"2013,2014,2019,2020,2021,2022,2023",37,8,78,13,25,86,49,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,5,Nd,DIGIT FIVE,284,8,"2013,2014,2019,2020,2021,2022,2023,2024",26,2,83,15,22,60,75,1
zao,Latn,zao_Latn,Ozolotepec Zapotec,C,Lu,LATIN CAPITAL LETTER C,272,8,"2013,2014,2019,2020,2021,2022,2023,2024",53,15,96,11,20,33,43,1
zao,Latn,zao_Latn,Ozolotepec Zapotec,6,Nd,DIGIT SIX,250,8,"2013,2014,2019,2020,2021,2022,2023,2024",25,2,78,12,20,47,65,1
zao,Latn,zao_Latn,Ozolotepec Zapotec,;,Po,SEMICOLON,246,7,"2013,2014,2019,2020,2021,2022,2023",26,5,66,12,24,45,68,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,8,Nd,DIGIT EIGHT,234,8,"2013,2014,2019,2020,2021,2022,2023,2024",26,2,65,14,21,48,57,1
zao,Latn,zao_Latn,Ozolotepec Zapotec,7,Nd,DIGIT SEVEN,231,8,"2013,2014,2019,2020,2021,2022,2023,2024",27,2,70,10,20,45,56,1
zao,Latn,zao_Latn,Ozolotepec Zapotec,0,Nd,DIGIT ZERO,217,8,"2013,2014,2019,2020,2021,2022,2023,2024",23,2,66,10,16,46,53,1
zao,Latn,zao_Latn,Ozolotepec Zapotec,9,Nd,DIGIT NINE,211,8,"2013,2014,2019,2020,2021,2022,2023,2024",27,2,64,11,15,40,51,1
zao,Latn,zao_Latn,Ozolotepec Zapotec,R,Lu,LATIN CAPITAL LETTER R,195,7,"2013,2014,2019,2020,2021,2022,2023",40,2,50,28,11,26,38,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,”,Pf,RIGHT DOUBLE QUOTATION MARK,176,7,"2013,2014,2019,2020,2021,2022,2023",25,2,58,3,14,41,33,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,“,Pi,LEFT DOUBLE QUOTATION MARK,176,7,"2013,2014,2019,2020,2021,2022,2023",25,2,58,3,14,41,33,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,―,Pd,HORIZONTAL BAR,171,6,"2013,2014,2019,2020,2021,2022",12,5,65,4,5,80,0,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,X,Lu,LATIN CAPITAL LETTER X,156,6,"2013,2019,2021,2022,2023,2024",42,0,70,0,6,17,20,1
zao,Latn,zao_Latn,Ozolotepec Zapotec,?,Po,QUESTION MARK,155,7,"2013,2014,2019,2020,2021,2022,2023",13,1,36,9,8,48,40,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,¿,Po,INVERTED QUESTION MARK,154,7,"2013,2014,2019,2020,2021,2022,2023",13,1,36,9,7,48,40,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,I,Lu,LATIN CAPITAL LETTER I,150,7,"2013,2014,2019,2020,2021,2022,2023",45,4,33,31,9,5,23,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,B,Lu,LATIN CAPITAL LETTER B,139,7,"2013,2014,2019,2020,2021,2022,2023",48,6,22,3,19,16,25,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,é,Ll,LATIN SMALL LETTER E WITH ACUTE,126,7,"2013,2014,2019,2020,2021,2022,2023",30,9,30,10,19,12,16,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,A,Lu,LATIN CAPITAL LETTER A,117,8,"2013,2014,2019,2020,2021,2022,2023,2024",47,2,26,6,6,13,16,1
zao,Latn,zao_Latn,Ozolotepec Zapotec,S,Lu,LATIN CAPITAL LETTER S,110,6,"2013,2019,2020,2021,2022,2023",27,0,33,7,12,20,11,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,104,7,"2013,2019,2020,2021,2022,2023,2024",38,0,30,3,9,7,16,1
zao,Latn,zao_Latn,Ozolotepec Zapotec,O,Lu,LATIN CAPITAL LETTER O,103,6,"2013,2019,2020,2021,2022,2023",20,0,26,8,3,14,32,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,í,Ll,LATIN SMALL LETTER I WITH ACUTE,100,7,"2013,2014,2019,2020,2021,2022,2023",37,1,49,4,2,6,1,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,!,Po,EXCLAMATION MARK,89,5,"2013,2019,2021,2022,2023",9,0,30,0,4,30,16,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,¡,Po,INVERTED EXCLAMATION MARK,88,5,"2013,2019,2021,2022,2023",8,0,30,0,4,30,16,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,G,Lu,LATIN CAPITAL LETTER G,67,7,"2013,2014,2019,2020,2021,2022,2023",20,5,16,5,6,9,6,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,E,Lu,LATIN CAPITAL LETTER E,66,7,"2013,2014,2019,2020,2021,2022,2023",15,4,33,3,3,2,6,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,),Pe,RIGHT PARENTHESIS,65,5,"2013,2019,2021,2022,2023",33,0,8,0,2,20,2,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,(,Ps,LEFT PARENTHESIS,65,5,"2013,2019,2021,2022,2023",33,0,8,0,2,20,2,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,W,Lu,LATIN CAPITAL LETTER W,64,6,"2013,2019,2020,2021,2022,2023",7,0,18,4,2,22,11,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,j,Ll,LATIN SMALL LETTER J,62,6,"2013,2019,2020,2021,2022,2023",24,0,4,20,6,6,2,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,Y,Lu,LATIN CAPITAL LETTER Y,62,7,"2013,2014,2019,2020,2021,2022,2023",17,1,26,1,4,4,9,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,’,Pf,RIGHT SINGLE QUOTATION MARK,54,4,"2013,2020,2021,2022",4,0,0,21,4,25,0,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,‐,Pd,HYPHEN,51,4,"2019,2021,2022,2023",0,0,14,0,2,32,3,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,-,Pd,HYPHEN-MINUS,45,6,"2013,2019,2020,2021,2023,2024",35,0,2,2,2,0,3,1
zao,Latn,zao_Latn,Ozolotepec Zapotec,],Pe,RIGHT SQUARE BRACKET,35,5,"2019,2020,2021,2022,2023",0,0,8,5,5,2,15,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,[,Ps,LEFT SQUARE BRACKET,35,5,"2019,2020,2021,2022,2023",0,0,8,5,5,2,15,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,v,Ll,LATIN SMALL LETTER V,33,6,"2013,2019,2020,2021,2022,2023",14,0,8,1,5,4,1,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,á,Ll,LATIN SMALL LETTER A WITH ACUTE,32,7,"2013,2014,2019,2020,2021,2022,2023",9,2,6,4,1,4,6,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,H,Lu,LATIN CAPITAL LETTER H,25,5,"2013,2014,2019,2021,2022",4,14,5,0,1,1,0,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,q,Ll,LATIN SMALL LETTER Q,23,5,"2013,2014,2019,2020,2023",15,2,1,2,0,0,3,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,',Po,APOSTROPHE,21,1,2013,21,0,0,0,0,0,0,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,F,Lu,LATIN CAPITAL LETTER F,18,5,"2013,2019,2020,2021,2023",5,0,5,3,4,0,1,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,É,Lu,LATIN CAPITAL LETTER E WITH ACUTE,13,4,"2013,2019,2021,2023",3,0,5,0,2,0,3,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,9,2,"2013,2020",6,0,0,3,0,0,0,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,U,Lu,LATIN CAPITAL LETTER U,5,1,2013,5,0,0,0,0,0,0,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,V,Lu,LATIN CAPITAL LETTER V,5,2,"2013,2020",3,0,0,2,0,0,0,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,ı,Ll,LATIN SMALL LETTER DOTLESS I,4,1,2021,0,0,0,0,4,0,0,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,4,1,2021,0,0,0,0,4,0,0,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,ç,Ll,LATIN SMALL LETTER C WITH CEDILLA,4,1,2021,0,0,0,0,4,0,0,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,/,Po,SOLIDUS,3,1,2013,3,0,0,0,0,0,0,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,Q,Lu,LATIN CAPITAL LETTER Q,1,1,2013,1,0,0,0,0,0,0,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,–,Pd,EN DASH,1,1,2013,1,0,0,0,0,0,0,0
zao,Latn,zao_Latn,Ozolotepec Zapotec,©,So,COPYRIGHT SIGN,1,1,2013,1,0,0,0,0,0,0,0
