iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec, ,Zs,SPACE,66274,6,"2013,2014,2019,2021,2022,2023",1528,3564,1021,3493,21005,35663
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,a,Ll,LATIN SMALL LETTER A,41891,6,"2013,2014,2019,2021,2022,2023",1005,2591,639,2151,13272,22233
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,n,Ll,LATIN SMALL LETTER N,29794,6,"2013,2014,2019,2021,2022,2023",513,1692,387,1512,9419,16271
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,i,Ll,LATIN SMALL LETTER I,29666,6,"2013,2014,2019,2021,2022,2023",661,1530,435,1628,9556,15856
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,e,Ll,LATIN SMALL LETTER E,27228,6,"2013,2014,2019,2021,2022,2023",426,1612,395,1228,8056,15511
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,r,Ll,LATIN SMALL LETTER R,17329,6,"2013,2014,2019,2021,2022,2023",300,964,229,771,5406,9659
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,l,Ll,LATIN SMALL LETTER L,15488,6,"2013,2014,2019,2021,2022,2023",309,892,215,855,4894,8323
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,b,Ll,LATIN SMALL LETTER B,13721,6,"2013,2014,2019,2021,2022,2023",293,812,221,701,3698,7996
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,d,Ll,LATIN SMALL LETTER D,13312,6,"2013,2014,2019,2021,2022,2023",403,599,243,677,4368,7022
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,u,Ll,LATIN SMALL LETTER U,13210,6,"2013,2014,2019,2021,2022,2023",269,686,180,668,4391,7016
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,g,Ll,LATIN SMALL LETTER G,12767,6,"2013,2014,2019,2021,2022,2023",292,649,215,640,4044,6927
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,j,Ll,LATIN SMALL LETTER J,11915,6,"2013,2014,2019,2021,2022,2023",269,716,190,675,3770,6295
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,o,Ll,LATIN SMALL LETTER O,10632,6,"2013,2014,2019,2021,2022,2023",324,562,230,615,3070,5831
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,x,Ll,LATIN SMALL LETTER X,10286,6,"2013,2014,2019,2021,2022,2023",281,566,212,496,3035,5696
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,m,Ll,LATIN SMALL LETTER M,8599,6,"2013,2014,2019,2021,2022,2023",223,614,148,393,2495,4726
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,c,Ll,LATIN SMALL LETTER C,7802,6,"2013,2014,2019,2021,2022,2023",268,385,150,411,2652,3936
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,t,Ll,LATIN SMALL LETTER T,7029,6,"2013,2014,2019,2021,2022,2023",137,339,84,346,2549,3574
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,s,Ll,LATIN SMALL LETTER S,6894,6,"2013,2014,2019,2021,2022,2023",166,440,97,362,2247,3582
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,ë,Ll,LATIN SMALL LETTER E WITH DIAERESIS,6217,6,"2013,2014,2019,2021,2022,2023",105,335,78,338,1996,3365
zas,Latn,zas_Latn,Santo Domingo Albarradas Zapotec,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,5429,5,"2014,2019,2021,2022,2023",0,302,70,242,1884,2931
