iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2024_frequency
zdj,Latn,zdj_Latn,Ngazidja Comorian, ,Zs,SPACE,15524,7,"2013,2017,2018,2019,2021,2022,2024",137,11026,3330,203,381,384,63
zdj,Latn,zdj_Latn,Ngazidja Comorian,a,Ll,LATIN SMALL LETTER A,14891,7,"2013,2017,2018,2019,2021,2022,2024",172,10448,3313,206,323,326,103
zdj,Latn,zdj_Latn,Ngazidja Comorian,i,Ll,LATIN SMALL LETTER I,7651,7,"2013,2017,2018,2019,2021,2022,2024",79,5306,1709,146,181,186,44
zdj,Latn,zdj_Latn,Ngazidja Comorian,n,Ll,LATIN SMALL LETTER N,5637,7,"2013,2017,2018,2019,2021,2022,2024",64,3966,1212,93,152,123,27
zdj,Latn,zdj_Latn,Ngazidja Comorian,u,Ll,LATIN SMALL LETTER U,5362,7,"2013,2017,2018,2019,2021,2022,2024",55,3854,1136,70,132,99,16
zdj,Latn,zdj_Latn,Ngazidja Comorian,h,Ll,LATIN SMALL LETTER H,4680,7,"2013,2017,2018,2019,2021,2022,2024",40,3360,1030,75,68,83,24
zdj,Latn,zdj_Latn,Ngazidja Comorian,e,Ll,LATIN SMALL LETTER E,3841,7,"2013,2017,2018,2019,2021,2022,2024",40,2647,759,80,178,117,20
zdj,Latn,zdj_Latn,Ngazidja Comorian,o,Ll,LATIN SMALL LETTER O,3504,7,"2013,2017,2018,2019,2021,2022,2024",21,2426,756,62,128,91,20
zdj,Latn,zdj_Latn,Ngazidja Comorian,m,Ll,LATIN SMALL LETTER M,3292,7,"2013,2017,2018,2019,2021,2022,2024",43,2224,747,56,101,99,22
zdj,Latn,zdj_Latn,Ngazidja Comorian,w,Ll,LATIN SMALL LETTER W,3176,7,"2013,2017,2018,2019,2021,2022,2024",22,2174,763,23,70,103,21
zdj,Latn,zdj_Latn,Ngazidja Comorian,s,Ll,LATIN SMALL LETTER S,2741,7,"2013,2017,2018,2019,2021,2022,2024",35,1876,606,53,105,57,9
zdj,Latn,zdj_Latn,Ngazidja Comorian,r,Ll,LATIN SMALL LETTER R,2568,7,"2013,2017,2018,2019,2021,2022,2024",38,1796,536,41,82,63,12
zdj,Latn,zdj_Latn,Ngazidja Comorian,y,Ll,LATIN SMALL LETTER Y,2548,7,"2013,2017,2018,2019,2021,2022,2024",22,1791,540,44,61,74,16
zdj,Latn,zdj_Latn,Ngazidja Comorian,d,Ll,LATIN SMALL LETTER D,2436,7,"2013,2017,2018,2019,2021,2022,2024",35,1642,520,41,101,82,15
zdj,Latn,zdj_Latn,Ngazidja Comorian,l,Ll,LATIN SMALL LETTER L,2020,7,"2013,2017,2018,2019,2021,2022,2024",34,1270,528,40,70,67,11
zdj,Latn,zdj_Latn,Ngazidja Comorian,t,Ll,LATIN SMALL LETTER T,1727,7,"2013,2017,2018,2019,2021,2022,2024",20,1190,383,30,46,49,9
zdj,Latn,zdj_Latn,Ngazidja Comorian,z,Ll,LATIN SMALL LETTER Z,1677,7,"2013,2017,2018,2019,2021,2022,2024",11,1201,349,40,33,34,9
