iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
zgh,Tfng,zgh_Tfng,Standard Moroccan Tamazight, ,Zs,SPACE,76020,8,"2017,2018,2019,2020,2021,2022,2023,2024",6444,3186,6500,1335,4897,7552,18215,27891
zgh,Tfng,zgh_Tfng,Standard Moroccan Tamazight,ⴰ,Lo,TIFINAGH LETTER YA,45686,8,"2017,2018,2019,2020,2021,2022,2023,2024",3937,2030,3899,822,3064,4675,11042,16217
zgh,Tfng,zgh_Tfng,Standard Moroccan Tamazight,ⵏ,Lo,TIFINAGH LETTER YAN,37598,8,"2017,2018,2019,2020,2021,2022,2023,2024",3065,1417,3052,600,2471,3865,9287,13841
zgh,Tfng,zgh_Tfng,Standard Moroccan Tamazight,ⵉ,Lo,TIFINAGH LETTER YI,31067,8,"2017,2018,2019,2020,2021,2022,2023,2024",2569,1284,2585,483,1995,2994,7623,11534
zgh,Tfng,zgh_Tfng,Standard Moroccan Tamazight,ⵜ,Lo,TIFINAGH LETTER YAT,27225,8,"2017,2018,2019,2020,2021,2022,2023,2024",2369,1102,2123,524,1628,2424,6845,10210
zgh,Tfng,zgh_Tfng,Standard Moroccan Tamazight,ⵙ,Lo,TIFINAGH LETTER YAS,23513,8,"2017,2018,2019,2020,2021,2022,2023,2024",1748,993,2051,435,1312,2245,5601,9128
zgh,Tfng,zgh_Tfng,Standard Moroccan Tamazight,ⵓ,Lo,TIFINAGH LETTER YU,20895,8,"2017,2018,2019,2020,2021,2022,2023,2024",1546,900,1527,397,1462,1873,5106,8084
zgh,Tfng,zgh_Tfng,Standard Moroccan Tamazight,ⵎ,Lo,TIFINAGH LETTER YAM,16613,8,"2017,2018,2019,2020,2021,2022,2023,2024",1260,634,1330,313,1043,1633,4034,6366
zgh,Tfng,zgh_Tfng,Standard Moroccan Tamazight,ⴷ,Lo,TIFINAGH LETTER YAD,16549,8,"2017,2018,2019,2020,2021,2022,2023,2024",1472,663,1350,267,1030,1605,3876,6286
zgh,Tfng,zgh_Tfng,Standard Moroccan Tamazight,ⵔ,Lo,TIFINAGH LETTER YAR,14222,8,"2017,2018,2019,2020,2021,2022,2023,2024",1281,633,1200,226,879,1426,3556,5021
zgh,Tfng,zgh_Tfng,Standard Moroccan Tamazight,ⵍ,Lo,TIFINAGH LETTER YAL,12621,8,"2017,2018,2019,2020,2021,2022,2023,2024",1109,538,1087,281,819,1111,3144,4532
zgh,Tfng,zgh_Tfng,Standard Moroccan Tamazight,ⴳ,Lo,TIFINAGH LETTER YAG,10767,8,"2017,2018,2019,2020,2021,2022,2023,2024",921,380,886,168,681,992,2511,4228
zgh,Tfng,zgh_Tfng,Standard Moroccan Tamazight,ⵡ,Lo,TIFINAGH LETTER YAW,8952,8,"2017,2018,2019,2020,2021,2022,2023,2024",708,329,793,125,586,954,2006,3451
