iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
zne,Latn,zne_Latn,Zande (individual language), ,Zs,SPACE,436639,8,"2013,2017,2018,2019,2020,2022,2023,2024",117,2957,427422,4125,601,640,641,136
zne,Latn,zne_Latn,Zande (individual language),a,Ll,LATIN SMALL LETTER A,354049,8,"2013,2017,2018,2019,2020,2022,2023,2024",107,2563,346716,3231,495,342,456,139
zne,Latn,zne_Latn,Zande (individual language),i,Ll,LATIN SMALL LETTER I,199219,8,"2013,2017,2018,2019,2020,2022,2023,2024",74,2452,193999,1852,266,234,262,80
zne,Latn,zne_Latn,Zande (individual language),n,Ll,LATIN SMALL LETTER N,159638,8,"2013,2017,2018,2019,2020,2022,2023,2024",58,1762,155620,1505,205,181,256,51
zne,Latn,zne_Latn,Zande (individual language),g,Ll,LATIN SMALL LETTER G,131071,8,"2013,2017,2018,2019,2020,2022,2023,2024",26,501,128742,1328,181,100,161,32
zne,Latn,zne_Latn,Zande (individual language),o,Ll,LATIN SMALL LETTER O,126330,8,"2013,2017,2018,2019,2020,2022,2023,2024",36,1978,122514,1196,158,183,216,49
zne,Latn,zne_Latn,Zande (individual language),u,Ll,LATIN SMALL LETTER U,112159,8,"2013,2017,2018,2019,2020,2022,2023,2024",21,183,110358,1100,136,135,181,45
zne,Latn,zne_Latn,Zande (individual language),e,Ll,LATIN SMALL LETTER E,102161,8,"2013,2017,2018,2019,2020,2022,2023,2024",32,883,99619,912,140,267,272,36
zne,Latn,zne_Latn,Zande (individual language),r,Ll,LATIN SMALL LETTER R,97869,8,"2013,2017,2018,2019,2020,2022,2023,2024",29,1547,95032,836,123,129,170,3
zne,Latn,zne_Latn,Zande (individual language),k,Ll,LATIN SMALL LETTER K,77617,8,"2013,2017,2018,2019,2020,2022,2023,2024",28,24,76662,617,106,74,80,26
zne,Latn,zne_Latn,Zande (individual language),b,Ll,LATIN SMALL LETTER B,67079,8,"2013,2017,2018,2019,2020,2022,2023,2024",16,135,65983,692,89,76,59,29
zne,Latn,zne_Latn,Zande (individual language),d,Ll,LATIN SMALL LETTER D,48432,8,"2013,2017,2018,2019,2020,2022,2023,2024",22,780,46833,455,54,150,121,17
zne,Latn,zne_Latn,Zande (individual language),t,Ll,LATIN SMALL LETTER T,43829,8,"2013,2017,2018,2019,2020,2022,2023,2024",13,435,42559,430,39,152,182,19
zne,Latn,zne_Latn,Zande (individual language),p,Ll,LATIN SMALL LETTER P,43218,8,"2013,2017,2018,2019,2020,2022,2023,2024",10,190,42428,414,54,46,66,10
