iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
zom,Latn,zom_Latn,Zou, ,Zs,SPACE,882931,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",93216,113919,27785,21938,225730,43625,41167,73764,77094,37306,119429,7958
zom,Latn,zom_Latn,Zou,a,Ll,LATIN SMALL LETTER A,588643,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",63415,77843,18808,14182,135404,28594,27847,51577,54644,25932,85219,5178
zom,Latn,zom_Latn,Zou,i,Ll,LATIN SMALL LETTER I,456009,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",46744,56962,13907,10351,114573,22996,22103,39708,42464,19682,62612,3907
zom,Latn,zom_Latn,Zou,n,Ll,LATIN SMALL LETTER N,417790,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",43522,52862,12889,9991,104843,21133,19701,35858,39176,18531,55454,3830
zom,Latn,zom_Latn,Zou,h,Ll,LATIN SMALL LETTER H,342949,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",37673,45631,11575,8643,78984,17240,15900,28633,31904,14837,49009,2920
zom,Latn,zom_Latn,Zou,e,Ll,LATIN SMALL LETTER E,224802,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20433,24520,5617,4338,67290,12556,11249,19381,19372,9404,28779,1863
zom,Latn,zom_Latn,Zou,u,Ll,LATIN SMALL LETTER U,210851,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20267,25183,6167,4782,56778,10335,9361,16691,17707,8246,33763,1571
zom,Latn,zom_Latn,Zou,t,Ll,LATIN SMALL LETTER T,210410,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20893,24764,5750,4612,56525,11211,9993,18429,18727,8937,28815,1754
zom,Latn,zom_Latn,Zou,g,Ll,LATIN SMALL LETTER G,172233,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",18379,21787,5512,4243,42518,8795,8239,14558,15458,7527,23860,1357
zom,Latn,zom_Latn,Zou,m,Ll,LATIN SMALL LETTER M,150345,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",14973,18389,4271,3493,38802,8062,7431,13993,13537,6628,19499,1267
zom,Latn,zom_Latn,Zou,k,Ll,LATIN SMALL LETTER K,135436,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",16507,20102,4857,3888,25401,6652,6790,12321,13813,6736,16972,1397
zom,Latn,zom_Latn,Zou,l,Ll,LATIN SMALL LETTER L,135281,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11537,13380,3064,2429,39137,7631,7078,12130,12830,6023,18938,1104
zom,Latn,zom_Latn,Zou,o,Ll,LATIN SMALL LETTER O,111678,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9219,11032,2562,1971,35505,6963,5695,10204,9760,4508,13381,878
zom,Latn,zom_Latn,Zou,s,Ll,LATIN SMALL LETTER S,98370,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9457,11085,2601,1955,26505,5224,5038,9047,9223,4297,13051,887
zom,Latn,zom_Latn,Zou,p,Ll,LATIN SMALL LETTER P,92529,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9060,11329,2697,1997,23471,4791,4506,8827,9091,4450,11355,955
zom,Latn,zom_Latn,Zou,d,Ll,LATIN SMALL LETTER D,58041,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5030,6026,1406,1090,17560,3052,2811,5087,5495,2288,7737,459
zom,Latn,zom_Latn,Zou,.,Po,FULL STOP,49376,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4810,5981,1482,1161,14544,2622,2319,4025,4454,2033,5642,303
