iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2018_frequency,year_2023_frequency
zty,Latn,zty_Latn,Yatee Zapotec, ,Zs,SPACE,300934,4,"2013,2014,2018,2023",242132,7151,36373,15278
zty,Latn,zty_Latn,Yatee Zapotec,e,Ll,LATIN SMALL LETTER E,195523,4,"2013,2014,2018,2023",156850,4750,23157,10766
zty,Latn,zty_Latn,Yatee Zapotec,',Po,APOSTROPHE,181098,4,"2013,2014,2018,2023",145473,4268,21629,9728
zty,Latn,zty_Latn,Yatee Zapotec,a,Ll,LATIN SMALL LETTER A,162135,4,"2013,2014,2018,2023",130202,3972,19841,8120
zty,Latn,zty_Latn,Yatee Zapotec,n,Ll,LATIN SMALL LETTER N,154313,4,"2013,2014,2018,2023",124315,3542,18614,7842
zty,Latn,zty_Latn,Yatee Zapotec,k,Ll,LATIN SMALL LETTER K,62191,4,"2013,2014,2018,2023",49490,1615,7822,3264
zty,Latn,zty_Latn,Yatee Zapotec,o,Ll,LATIN SMALL LETTER O,60907,4,"2013,2014,2018,2023",49032,1302,7711,2862
zty,Latn,zty_Latn,Yatee Zapotec,b,Ll,LATIN SMALL LETTER B,50128,4,"2013,2014,2018,2023",40166,1205,5861,2896
zty,Latn,zty_Latn,Yatee Zapotec,i,Ll,LATIN SMALL LETTER I,49681,4,"2013,2014,2018,2023",39938,1142,6170,2431
zty,Latn,zty_Latn,Yatee Zapotec,g,Ll,LATIN SMALL LETTER G,42730,4,"2013,2014,2018,2023",34111,1146,5008,2465
zty,Latn,zty_Latn,Yatee Zapotec,ž,Ll,LATIN SMALL LETTER Z WITH CARON,38363,4,"2013,2014,2018,2023",30804,909,4748,1902
zty,Latn,zty_Latn,Yatee Zapotec,ḻ,Ll,LATIN SMALL LETTER L WITH LINE BELOW,36271,4,"2013,2014,2018,2023",29052,863,4507,1849
zty,Latn,zty_Latn,Yatee Zapotec,l,Ll,LATIN SMALL LETTER L,32158,4,"2013,2014,2018,2023",25924,806,3811,1617
zty,Latn,zty_Latn,Yatee Zapotec,h,Ll,LATIN SMALL LETTER H,30623,4,"2013,2014,2018,2023",24505,706,3872,1540
zty,Latn,zty_Latn,Yatee Zapotec,",",Po,COMMA,30045,4,"2013,2014,2018,2023",24289,720,3490,1546
zty,Latn,zty_Latn,Yatee Zapotec,c,Ll,LATIN SMALL LETTER C,29121,4,"2013,2014,2018,2023",23234,680,3742,1465
zty,Latn,zty_Latn,Yatee Zapotec,d,Ll,LATIN SMALL LETTER D,29011,4,"2013,2014,2018,2023",23221,703,3692,1395
zty,Latn,zty_Latn,Yatee Zapotec,t,Ll,LATIN SMALL LETTER T,25201,4,"2013,2014,2018,2023",20278,588,3072,1263
zty,Latn,zty_Latn,Yatee Zapotec,s,Ll,LATIN SMALL LETTER S,25093,4,"2013,2014,2018,2023",19717,655,3217,1504
zty,Latn,zty_Latn,Yatee Zapotec,w,Ll,LATIN SMALL LETTER W,24633,4,"2013,2014,2018,2023",19711,624,2732,1566
zty,Latn,zty_Latn,Yatee Zapotec,y,Ll,LATIN SMALL LETTER Y,22435,4,"2013,2014,2018,2023",18076,490,2641,1228
zty,Latn,zty_Latn,Yatee Zapotec,z,Ll,LATIN SMALL LETTER Z,20998,4,"2013,2014,2018,2023",17007,428,2518,1045
zty,Latn,zty_Latn,Yatee Zapotec,.,Po,FULL STOP,16592,4,"2013,2014,2018,2023",13325,453,1870,944
zty,Latn,zty_Latn,Yatee Zapotec,j,Ll,LATIN SMALL LETTER J,16176,4,"2013,2014,2018,2023",12985,375,2023,793
zty,Latn,zty_Latn,Yatee Zapotec,á,Ll,LATIN SMALL LETTER A WITH ACUTE,14413,4,"2013,2014,2018,2023",11594,348,1690,781
zty,Latn,zty_Latn,Yatee Zapotec,é,Ll,LATIN SMALL LETTER E WITH ACUTE,12046,4,"2013,2014,2018,2023",9665,295,1326,760
zty,Latn,zty_Latn,Yatee Zapotec,ẕ,Ll,LATIN SMALL LETTER Z WITH LINE BELOW,11833,4,"2013,2014,2018,2023",9478,267,1486,602
zty,Latn,zty_Latn,Yatee Zapotec,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,8929,4,"2013,2014,2018,2023",7180,208,1065,476
zty,Latn,zty_Latn,Yatee Zapotec,B,Lu,LATIN CAPITAL LETTER B,8042,4,"2013,2014,2018,2023",6484,211,1008,339
zty,Latn,zty_Latn,Yatee Zapotec,̱,Mn,COMBINING MACRON BELOW,7054,4,"2013,2014,2018,2023",5698,169,788,399
zty,Latn,zty_Latn,Yatee Zapotec,í,Ll,LATIN SMALL LETTER I WITH ACUTE,6858,4,"2013,2014,2018,2023",5409,177,878,394
zty,Latn,zty_Latn,Yatee Zapotec,D,Lu,LATIN CAPITAL LETTER D,6844,4,"2013,2014,2018,2023",5396,201,967,280
zty,Latn,zty_Latn,Yatee Zapotec,x,Ll,LATIN SMALL LETTER X,5560,4,"2013,2014,2018,2023",4454,149,621,336
zty,Latn,zty_Latn,Yatee Zapotec,1,Nd,DIGIT ONE,5501,4,"2013,2014,2018,2023",3871,156,1094,380
zty,Latn,zty_Latn,Yatee Zapotec,r,Ll,LATIN SMALL LETTER R,4617,4,"2013,2014,2018,2023",3728,129,561,199
zty,Latn,zty_Latn,Yatee Zapotec,:,Po,COLON,4485,4,"2013,2014,2018,2023",3137,111,857,380
zty,Latn,zty_Latn,Yatee Zapotec,u,Ll,LATIN SMALL LETTER U,4439,4,"2013,2014,2018,2023",3491,131,473,344
zty,Latn,zty_Latn,Yatee Zapotec,J,Lu,LATIN CAPITAL LETTER J,4328,4,"2013,2014,2018,2023",3250,116,564,398
zty,Latn,zty_Latn,Yatee Zapotec,N,Lu,LATIN CAPITAL LETTER N,4185,4,"2013,2014,2018,2023",3358,90,512,225
zty,Latn,zty_Latn,Yatee Zapotec,2,Nd,DIGIT TWO,4045,4,"2013,2014,2018,2023",2885,87,728,345
zty,Latn,zty_Latn,Yatee Zapotec,Ḻ,Lu,LATIN CAPITAL LETTER L WITH LINE BELOW,3484,4,"2013,2014,2018,2023",2809,97,394,184
zty,Latn,zty_Latn,Yatee Zapotec,C,Lu,LATIN CAPITAL LETTER C,3117,4,"2013,2014,2018,2023",2454,70,509,84
zty,Latn,zty_Latn,Yatee Zapotec,K,Lu,LATIN CAPITAL LETTER K,3025,4,"2013,2014,2018,2023",2375,81,398,171
zty,Latn,zty_Latn,Yatee Zapotec,p,Ll,LATIN SMALL LETTER P,3012,4,"2013,2014,2018,2023",2453,119,307,133
zty,Latn,zty_Latn,Yatee Zapotec,3,Nd,DIGIT THREE,2790,4,"2013,2014,2018,2023",2061,93,392,244
zty,Latn,zty_Latn,Yatee Zapotec,L,Lu,LATIN CAPITAL LETTER L,2356,4,"2013,2014,2018,2023",1776,91,360,129
zty,Latn,zty_Latn,Yatee Zapotec,—,Pd,EM DASH,2210,4,"2013,2014,2018,2023",1818,51,164,177
